node_id,is_fermion,is_boson,mean_phase,phase_spread,has_pi_winding,has_zero_winding,electron_score,photon_score
0,1,0,0.07341952961725497,0.496075363077919,0,1,4.068272358821277,-10.377000828807319
1,0,1,-0.04489913312061868,0.5203295987992216,0,0,0.26851899335319773,2.9971571335078906
2,0,0,0.07577838402243725,0.6818575180512985,0,0,-0.013338157373215004,1.0020115280413573
3,0,0,-0.04017090127481525,0.6673642795485923,0,0,-0.9776489052472463,-0.4010406490103101
4,0,0,0.01104349040873803,0.6235205755337565,0,0,-0.5277996235583191,-0.18903690685755356
5,0,1,-0.029512432624284553,0.5653098984349061,0,0,-1.2743995033201263,5.010610112994451
6,0,0,-0.019365105526602706,0.6893180205294003,0,0,-1.0752960539741228,1.8713550224950781
7,0,0,-0.017147756434745788,0.5309255493027016,0,0,-0.9753986506104861,1.0689726942594557
8,1,0,-0.07821050271802236,0.5221120916410192,0,0,1.4761804309190332,-0.7181464026191628
9,1,0,0.014570598630060945,0.7110905704368713,0,0,4.970377853275206,-7.713074820480736
10,0,0,0.008108941351781005,0.621538868703925,0,0,0.5804939513694893,-2.4083546956637307
11,1,0,0.023294660352213486,0.6721736162559593,0,0,1.8571823288416287,-2.660035342501571
12,0,1,0.016053154787897424,0.6274437258168948,0,0,-3.483133968096432,4.580402711415529
13,1,0,-0.02837710583452437,0.551432710205989,0,0,2.3111464191288213,-2.952308398308266
14,0,0,-0.018916906385167496,0.7306686445233386,0,0,0.1499429984638525,0.22428037394174058
15,1,0,-0.141942172575603,0.5091067808159528,0,0,1.5781819790922302,-3.6835491613190467
16,0,0,0.013151999339979308,0.5156380185955522,0,0,-2.278750311232511,2.7064665400182104
17,0,0,0.17443321258941585,0.701217581255867,0,0,-0.39841612215197564,-0.3455854050968878
18,0,0,0.03734827989203951,0.6162491555641809,0,0,-0.27737322930543656,-2.300640482830268
19,0,0,0.10935005989771648,0.7221366544389535,0,0,-1.7750694482289757,1.673087936652266
20,0,1,-0.12493216418406723,0.5511773647064793,0,0,-0.5515760397778796,3.3027149009046077
21,0,1,-0.11824980267067592,0.6460707043445499,0,0,-1.076563618917672,3.7102918028599006
22,0,0,-0.029340421631075083,0.6944589426032415,0,0,-0.15182475715875499,-3.4869214043698196
23,0,0,-0.051790108643145545,0.529500906938671,0,0,-1.2131598364903617,2.8774240445516472
24,0,1,0.08887803129751214,0.6456949875363013,0,0,-1.6930235901194393,5.156296762720601
25,0,0,-0.03312594335353603,0.530350968990998,0,0,0.9989090549594064,-2.575469858287484
26,1,0,0.008945059001109429,0.5232979045413235,0,0,2.6365134146882174,-6.119311348118438
27,0,1,-0.04486952312519016,0.5612790582239569,0,0,-2.317890270695657,2.8830418590716698
28,1,0,-0.0015650783291929467,0.5789708740348594,0,0,3.13608808991798,-7.455838965604018
29,1,0,-0.0845517307977343,0.5075135386064389,0,0,1.550399061612471,-2.0847710260722763
30,0,0,-0.04251148734160028,0.6612777976708313,0,0,0.9861119442432867,2.085405774765585
31,0,0,0.07327735490542586,0.6515818485596788,0,0,0.9132855811041424,0.6846299828685792
32,0,0,0.03513652961922558,0.6031145866942871,0,0,0.9634235156195959,-1.1151208557948804
33,0,0,-0.002291134046754062,0.5922248557733292,0,0,-0.02716807489374004,0.23724704495137086
34,0,1,-0.027177690837121224,0.5306147977839155,0,0,0.281879454974733,3.502324321069865
35,0,1,-0.058567021080409336,0.5340186716828448,0,0,-1.334345149066623,4.604692511045766
36,0,0,-0.12001065631557015,0.47458525623031067,0,1,0.8274763313632757,-0.33562131507927284
37,0,0,0.08278380656307248,0.7267296284248203,0,0,-0.715574135076351,-1.2925225996457352
38,0,0,0.049859218962438175,0.6759362622514123,0,0,0.3113208816220076,1.9285988842484607
39,1,0,0.056857633864510065,0.5452603005220628,0,0,1.8811974217503784,-4.493802548661369
40,0,1,-0.13674203092558504,0.6718842084376051,0,0,-1.2883205764373706,5.221899739431992
41,1,0,0.21615316420798047,0.7075995326108043,0,0,2.509127205189045,-4.375554953760994
42,0,0,-0.06294493367164511,0.5988763665227237,0,0,0.9118515661155656,-5.025849597115242
43,0,0,0.04848206059706615,0.6120908255591686,0,0,0.6094151592512147,-1.8063437194662844
44,0,0,0.07387100296009241,0.5606668302385508,0,0,-2.635255909541944,-0.06552095619085507
45,0,0,0.14247589713035957,0.5676747353605094,0,0,-0.15170389504484685,1.1856458394655705
46,0,1,-0.09425320226748599,0.6150392446664594,0,0,-0.8422554399694004,3.4823208939633403
47,1,0,0.055690399574102524,0.6005435793695377,0,0,1.9869719799722025,-0.9131535885084894
48,1,0,-0.07584412078793364,0.6461615340573019,0,0,2.970749098841893,-4.295699810989998
49,0,1,0.05498793543327112,0.7367697438908476,0,0,-1.4152192441565716,3.6539295931008717
50,0,0,-0.03250834652601292,0.6599328095863384,0,0,0.8438124418099278,1.177683562905521
51,1,0,-0.08387907195550631,0.6675580267647836,0,0,1.5084154657564353,0.7566873175968637
52,0,1,-0.1358472582830424,0.5654791310672779,0,0,-2.800403832664223,3.6310549737796523
53,0,0,0.008335765226577292,0.576444660508092,0,0,-1.524445809173449,1.4987990890613099
54,0,1,-0.039209709141825234,0.7056879344117989,0,0,-0.7430791237147858,4.356523922195369
55,1,0,-0.07816124150976327,0.6469503473835028,0,0,1.945798399843227,-4.650496485059763
56,0,0,0.0011888927995558729,0.5729846261195963,0,0,-2.5656797386814563,0.9517224941601355
57,0,0,0.03478220298386254,0.5890312841352363,0,0,-2.3311660556386156,0.08566627917858027
