step,t,proton_id,proton_score,electron_id,electron_score,photon_id,photon_score
1080,54.00000000,46,6.537195,5,4.987082,60,4.945925
1090,54.50000000,46,7.792372,28,4.144501,60,5.251599
1100,55.00000000,46,5.904265,54,5.893417,17,4.974522
1110,55.50000000,46,4.533111,54,5.260392,27,4.461407
1120,56.00000000,46,4.798856,18,5.798171,3,4.380316
1130,56.50000000,46,5.911602,47,4.690938,10,4.816385
1140,57.00000000,46,4.595632,47,5.044169,35,5.221491
1150,57.50000000,1,4.373111,3,4.269019,35,4.654336
1160,58.00000000,46,4.054030,3,5.525386,56,4.534366
1170,58.50000000,46,5.770116,18,5.719631,1,5.298593
1180,59.00000000,46,6.728960,10,4.828825,37,4.210023
1190,59.50000000,46,5.761529,34,4.677133,36,4.552933
1200,60.00000000,46,5.350021,13,3.701074,51,5.647422
1210,60.50000000,46,4.941261,19,4.690742,1,5.593249
1220,61.00000000,46,6.272363,16,5.418073,57,5.178011
1230,61.50000000,46,5.831357,13,4.330201,51,5.422665
1240,62.00000000,46,4.529143,52,8.020144,12,4.227380
1250,62.50000000,46,6.578659,52,6.108449,28,4.945000
1260,63.00000000,46,7.854961,6,4.466680,5,5.222385
1270,63.50000000,46,6.294454,6,4.478298,12,4.751395
1280,64.00000000,46,6.641998,1,5.300141,20,4.908487
1290,64.50000000,46,7.276266,16,5.034786,61,5.176345
1300,65.00000000,46,6.845679,37,5.996892,24,5.714671
1310,65.50000000,46,5.437015,37,6.314545,0,5.392542
1320,66.00000000,46,4.650750,37,5.373979,0,6.421116
1330,66.50000000,46,5.367611,54,4.720973,8,6.510823
1340,67.00000000,28,2.843982,54,6.368234,61,5.251091
1350,67.50000000,28,3.957516,54,5.064745,39,4.841098
1360,68.00000000,28,3.309837,5,5.707927,37,5.079002
1370,68.50000000,29,4.376308,5,4.994603,43,4.477892
1380,69.00000000,29,5.712670,29,6.474112,0,5.167605
1390,69.50000000,46,5.677490,29,5.719632,9,5.429220
1400,70.00000000,46,4.639842,61,5.600120,43,5.040866
1410,70.50000000,46,3.762647,60,6.143905,46,6.371211
1420,71.00000000,46,3.813527,60,6.487251,46,6.548102
1430,71.50000000,46,4.794334,63,5.231521,49,5.502418
1440,72.00000000,46,4.535998,63,4.678711,49,5.869601
1450,72.50000000,46,3.800999,57,4.805830,49,6.430199
1460,73.00000000,46,4.642307,57,5.878627,47,6.005571
1470,73.50000000,46,5.418404,61,4.029190,47,6.077137
1480,74.00000000,46,4.029230,58,5.083071,48,5.363305
1490,74.50000000,52,2.920845,58,6.274274,46,7.564965
1500,75.00000000,46,4.054181,58,6.618375,47,5.848500
1510,75.50000000,46,3.880243,58,5.318075,47,5.058245
1520,76.00000000,9,4.585953,56,4.851721,46,4.696627
1530,76.50000000,9,4.951666,31,4.910805,29,4.929778
1540,77.00000000,9,4.624979,31,3.904887,29,5.331645
1550,77.50000000,51,3.800117,51,4.179249,43,5.182060
1560,78.00000000,6,3.870646,35,3.874499,46,6.569645
1570,78.50000000,6,3.472095,52,4.209503,8,6.229309
1580,79.00000000,14,3.242617,41,5.307513,11,5.139362
1590,79.50000000,62,3.439838,41,5.952335,52,4.945559
1600,80.00000000,62,3.418985,41,4.552056,10,5.632701
1610,80.50000000,6,3.613639,23,4.405469,28,6.392608
1620,81.00000000,34,3.659808,51,5.147375,28,4.903644
1630,81.50000000,34,4.340553,34,5.007173,46,5.711668
1640,82.00000000,58,3.587209,58,4.430686,51,4.961639
1650,82.50000000,33,4.215687,14,5.276594,49,4.784628
1660,83.00000000,33,4.235691,32,5.849013,49,5.360208
1670,83.50000000,33,4.440674,27,7.095811,62,6.189093
1680,84.00000000,27,3.528027,27,6.739300,28,6.094957
1690,84.50000000,62,4.088118,27,4.365883,3,4.978584
1700,85.00000000,62,3.898475,11,4.349746,1,6.010627
1710,85.50000000,33,4.048196,54,4.911817,56,5.275535
1720,86.00000000,62,3.982646,7,6.418042,12,4.899292
1730,86.50000000,62,4.063218,7,4.840618,50,5.998266
1740,87.00000000,62,4.659692,2,5.548460,14,5.611172
1750,87.50000000,62,4.814560,5,5.763412,28,5.575988
1760,88.00000000,62,4.808836,5,5.621567,11,4.035832
1770,88.50000000,62,4.822324,5,5.041951,19,5.429351
1780,89.00000000,62,4.489446,17,6.030019,61,4.947345
1790,89.50000000,62,4.166695,55,6.505767,4,4.691354
1800,90.00000000,62,3.488854,17,6.028879,19,5.734800
1810,90.50000000,0,3.042908,17,3.457101,37,5.858584
1820,91.00000000,19,5.006718,51,4.998215,28,5.778936
1830,91.50000000,19,6.864281,19,6.581188,25,5.114012
1840,92.00000000,19,5.366201,21,4.285847,51,4.589821
1850,92.50000000,62,4.822835,11,4.109227,54,5.695879
1860,93.00000000,62,3.888714,38,3.446997,1,5.645754
1870,93.50000000,34,3.019367,30,5.881173,47,5.570829
1880,94.00000000,34,3.100901,30,4.185282,47,5.447180
1890,94.50000000,47,3.228132,2,4.836071,13,5.441763
1900,95.00000000,9,3.501024,2,5.288715,33,5.143332
1910,95.50000000,21,3.398457,21,4.918459,61,5.603899
1920,96.00000000,34,3.496128,14,4.065210,61,5.351735
1930,96.50000000,6,3.911794,6,3.577126,46,5.974756
1940,97.00000000,6,4.003639,60,4.000066,39,4.166157
1950,97.50000000,60,3.432326,60,5.193814,28,4.924899
1960,98.00000000,34,3.743268,45,4.823408,58,5.039377
1970,98.50000000,34,3.930456,57,4.085893,33,5.151084
1980,99.00000000,47,3.084718,57,4.523639,39,4.819378
1990,99.50000000,57,3.557361,9,4.249551,41,5.183895
2000,100.00000000,32,3.523728,15,3.974609,60,5.008215
2010,100.50000000,32,4.842498,15,3.714775,34,5.325334
2020,101.00000000,32,6.023813,23,3.879566,34,5.213684
2030,101.50000000,32,5.546340,27,5.562247,59,5.878712
2040,102.00000000,32,4.223953,27,7.924511,34,4.919661
2050,102.50000000,59,5.542104,27,7.577801,33,5.661830
2060,103.00000000,59,5.977695,63,4.863276,31,5.940219
2070,103.50000000,33,3.792309,40,5.882782,28,5.395522
2080,104.00000000,6,3.808074,54,4.925253,31,5.592959
2090,104.50000000,62,4.519193,54,6.379869,60,5.017404
2100,105.00000000,3,3.622313,41,5.499191,59,4.349915
2110,105.50000000,31,4.713837,63,4.881575,61,4.622356
2120,106.00000000,39,3.140848,15,4.420165,42,5.047895
2130,106.50000000,59,3.937004,15,4.920129,28,5.176707
2140,107.00000000,59,3.879795,63,6.098691,28,4.958655
2150,107.50000000,25,3.982192,25,5.527100,14,4.653669
2160,108.00000000,62,4.769050,54,4.538376,51,4.867384
2170,108.50000000,11,3.368690,54,4.599335,10,5.626806
2180,109.00000000,25,3.861678,63,5.973282,32,5.041425
2190,109.50000000,47,3.567508,15,5.110393,14,4.878188
2200,110.00000000,47,3.699988,31,4.859057,28,5.100516
2210,110.50000000,31,3.365460,7,6.014291,58,5.455413
2220,111.00000000,62,4.237741,7,6.035874,53,4.495897
2230,111.50000000,32,4.831702,14,4.349733,61,4.627494
2240,112.00000000,33,4.681234,40,4.346887,17,4.884697
2250,112.50000000,33,4.416868,9,3.696713,59,5.011355
2260,113.00000000,47,3.386198,15,6.863305,17,5.791337
2270,113.50000000,47,3.374740,15,5.043940,11,4.902631
