time,wave_shell0,wave_shell1,wave_shell2,wave_shell3,wave_shell4
0,0,0,0,0,0
0.1,0.00148697112,0.00265717942,0.00848235495,0.00741948512,0.00106947096
0.2,0.00182147587,0.00227450394,0.00435077484,0.0059344076,0.00386982074
0.3,0.0119644048,0.00253849126,0.00494020899,0.00265244132,0.00402580863
0.4,0.0155331448,0.00300125105,0.00748843754,0.00178485631,0.00368667437
0.5,0.00578559961,0.00453143449,0.00669815097,0.00261441797,0.000269644713
0.6,0.00496228012,0.00620124088,0.00446946054,0.0074846041,0.00493629539
0.7,0.00871875434,0.00408274028,0.00360790048,0.00778869236,0.00587585503
0.8,0.00510731798,0.00159829615,0.00767072486,0.00327450113,0.00278230915
0.9,0.00246241245,0.00105323648,0.00518653265,0.00842328281,0.0144274904
1,0.0100118451,0.00395925466,0.00545896857,0.0100383538,0.0169435775
1.1,0.0103014641,0.00235074189,0.00619374919,0.00701264305,0.00778342399
1.2,0.000905094219,0.00568405325,0.00234489736,0.00741043772,0.00350971205
1.3,0.0112243842,0.00779463647,0.00538075326,0.00417338816,0.00698644616
1.4,0.0169217186,0.0056957592,0.00327190229,0.00283485367,0.00167864565
1.5,0.0141563504,0.0103596943,0.00416100062,0.00662533651,0.00188261499
1.6,0.00811048996,0.00654474563,0.00598645763,0.00873866136,2.17506725e-05
1.7,0.00239202921,0.00865037978,0.0046264574,0.00597009673,0.000476621066
1.8,0.0136712817,0.00674364869,0.00481290454,0.00457557609,0.00066106833
1.9,0.0143665006,0.0127816274,0.00568770859,0.00843556066,0.00565166554
2,0.00400956355,0.00762752383,0.00569639056,0.00721329432,0.0120961834
2.1,0.00977827692,0.00355514306,0.0058893618,0.00341889751,0.0109457798
2.2,0.0165834217,0.00709454755,0.00668887569,0.00821178309,0.00815151891
2.3,0.012115723,0.00349373657,0.00529623016,0.0102431264,0.00568728343
2.4,0.0035542865,0.00326481742,0.00564756373,0.00392827176,0.00193182922
2.5,0.00157554597,0.00499534156,0.00668073479,0.00133335454,0.00364742854
2.6,0.000554648604,0.00319363377,0.00403587925,0.00933667596,0.0154911858
2.7,0.00650051378,0.00540282661,0.00542236874,0.0113716833,0.0200098023
2.8,0.00520665909,0.00689932904,0.00618937636,0.00394481298,0.00711670253
2.9,0.00349440049,0.00749072621,0.00724538921,0.0153878001,0.0107514456
3,0.0121351117,0.0043539907,0.00694382603,0.011884707,0.0138558592
3.1,0.0151575957,0.009033131,0.00658697679,0.00742131566,0.0011720475
3.2,0.00905633869,0.0128779551,0.00797250442,0.00863734257,0.0133677063
3.3,0.0018257073,0.0107297871,0.00948389457,0.00826359397,0.0112543262
3.4,0.0125804014,0.00471167256,0.00765731965,0.00746452732,0.0011401053
3.5,0.0128245031,0.00374254599,0.00430188364,0.00610726896,0.0089804831
3.6,0.00408649716,0.00463359511,0.00444359105,0.00479512567,0.0131025097
3.7,0.00182501216,0.00675919256,0.00718585771,0.00717340269,0.00840676185
3.8,0.00530944246,0.00462116203,0.00565584279,0.0103068245,0.00254487159
3.9,0.0107076314,0.00283716798,0.0098472329,0.00538483001,0.000444224137
4,0.0130697385,0.00664442605,0.00881984792,0.00256211751,0.00498730063
4.1,0.00179645789,0.00596745541,0.00402373988,0.0103625016,0.00417458627
4.2,0.0136446534,0.00391211995,0.00768845503,0.0136633769,0.000467934002
4.3,0.0123471883,0.00264323938,0.00817958918,0.00596129575,0.00178708008
4.4,0.00642986382,0.00514399894,0.0106503096,0.00356113497,0.00507763695
4.5,0.000350224106,0.00351919173,0.0140504627,0.00518216614,0.00280876223
4.6,0.0101762366,0.00827265332,0.0113287438,0.00298074878,0.000452752534
4.7,0.00893629734,0.00625495198,0.00839504273,0.00565144642,0.00210174146
4.8,0.00255159156,0.00434183668,0.00965916877,0.00610394661,0.00142097588
4.9,0.013383381,0.00635710584,0.00484102673,0.00887732832,0.0038694677
5,0.0148848184,0.00136975739,0.00346067634,0.00799629637,0.00422354049
5.1,0.00355335183,0.00517481491,0.00672647272,0.00894022822,0.00153186853
5.2,0.0034001771,0.00701505626,0.0113629873,0.0120953096,0.0088605702
5.3,0.00412390893,0.00291226612,0.00372302703,0.00435362818,0.00124416711
5.4,0.00237508587,0.00870617406,0.00409250215,0.00330616531,0.0104100927
5.5,0.00497901454,0.0068113003,0.00325185679,0.00942698587,0.0149140614
5.6,0.00919641622,0.0021529188,0.00491422093,0.00360803756,0.0117577126
5.7,0.0043228143,0.0042021246,0.00792051497,0.0095517185,0.00290270554
5.8,0.00155228005,0.00741922501,0.0084319296,0.0121957477,0.00129423043
5.9,0.00819488628,0.00484658566,0.005472554,0.00338257372,0.00677574594
6,0.000963210224,0.00810894223,0.0105455283,0.0102732836,0.0133105365
6.1,0.017965475,0.00656976986,0.00645381829,0.00479746212,0.00703786864
6.2,0.00770144281,0.00383252847,0.00733261849,0.00463812072,0.00216144205
6.3,0.0143113281,0.00557170701,0.0115711849,0.0103191882,0.00749675943
6.4,0.00898015457,0.00524225418,0.00941424381,0.00823373422,0.000179186201
6.5,0.00824083794,0.00520322107,0.00881671565,0.00973499718,0.0106492875
6.6,0.0106233297,0.00412696036,0.00587575353,0.00768156116,0.00705400701
6.7,0.00512950906,0.00482033801,0.00311533992,0.00456095448,0.000454765807
6.8,0.00125112287,0.00250283154,0.00491667572,0.0115201422,0.00579109216
6.9,0.00783546982,0.00546684088,0.00965679997,0.0114669651,0.00425254232
7,0.00462455554,0.00649912128,0.00740899201,0.00891908336,0.00637746446
