t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943290776222717398e-01
1.507537688442210921e-01 9.774449479315443501e-01
2.261306532663316382e-01 9.497306052833840440e-01
3.015075376884421843e-01 9.118147132214210471e-01
3.768844221105527303e-01 8.645573440687175371e-01
4.522613065326632764e-01 8.090304693142369441e-01
5.276381909547738225e-01 7.464936433444201436e-01
6.030150753768843686e-01 6.783654321025651690e-01
6.783919597989949146e-01 6.061912347794157219e-01
7.537688442211054607e-01 5.316082284577497985e-01
8.291457286432160068e-01 4.563082308957583377e-01
9.045226130653265528e-01 3.819993238583099249e-01
9.798994974874370989e-01 3.103671075205370888e-01
1.055276381909547645e+00 2.430364648368249780e-01
1.130653266331658191e+00 1.815347032003803429e-01
1.206030150753768737e+00 1.272569094765391151e-01
1.281407035175879283e+00 8.143430428547002164e-02
1.356783919597989829e+00 4.510631337590824408e-02
1.432160804020100375e+00 1.909698961420139285e-02
1.507537688442210921e+00 3.996320424949306033e-03
1.582914572864321467e+00 1.468446994476041705e-04
1.658291457286432014e+00 7.635882749833469707e-03
1.733668341708542560e+00 2.629355556223663890e-02
1.809045226130653106e+00 5.569663827958427904e-02
1.884422110552763652e+00 9.517816050285207718e-02
1.959798994974874198e+00 1.438425356405099165e-01
2.035175879396984744e+00 2.005858761166922632e-01
2.110552763819095290e+00 2.641210336142252313e-01
2.185929648241205836e+00 3.330067963474078185e-01
2.261306532663316382e+00 4.056805810626789577e-01
2.336683417085426928e+00 4.804938781919735336e-01
2.412060301507537474e+00 5.557496461319240133e-01
2.487437185929648020e+00 6.297408064086738033e-01
2.562814070351758566e+00 7.007889665159541259e-01
2.638190954773869112e+00 7.672824920495695533e-01
2.713567839195979658e+00 8.277130645218298000e-01
2.788944723618090205e+00 8.807098955898075010e-01
2.864321608040200751e+00 9.250708215924938749e-01
2.939698492462311297e+00 9.597895730580277007e-01
3.015075376884421843e+00 9.840786006079580428e-01
3.090452261306532389e+00 9.973869394828207557e-01
3.165829145728642935e+00 9.994127074556725665e-01
3.241206030150753481e+00 9.901099526347956203e-01
3.316582914572864027e+00 9.696896958221429275e-01
3.391959798994974573e+00 9.386151437829859390e-01
3.467336683417085119e+00 8.975911820074713443e-01
3.542713567839195665e+00 8.475483853070224782e-01
3.618090452261306211e+00 7.896219089442508832e-01
3.693467336683416757e+00 7.251257391234293692e-01
3.768844221105527303e+00 6.555228869354179366e-01
3.844221105527637850e+00 5.823922018683228563e-01
3.919597989949748396e+00 5.073925576759257261e-01
3.994974874371858942e+00 4.322252230005165785e-01
4.070351758793969488e+00 3.585952703232350158e-01
4.145728643216079590e+00 2.881728986293162764e-01
4.221105527638190580e+00 2.225555471328856116e-01
4.296482412060301570e+00 1.632316594618181682e-01
4.371859296482411672e+00 1.115469202646242886e-01
4.447236180904521774e+00 6.867373011770507019e-02
4.522613065326632764e+00 3.558461115469542524e-02
4.597989949748743754e+00 1.303014667634265315e-02
4.673366834170853856e+00 1.521955151958359707e-03
4.748743718592963958e+00 1.321084824913174591e-03
4.824120603015074948e+00 1.243209217533923494e-02
4.899497487437185939e+00 3.460293856234444160e-02
4.974874371859296041e+00 6.733070739029201057e-02
5.050251256281406143e+00 1.098730121127042686e-01
5.125628140703517133e+00 1.612648362981801697e-01
5.201005025125628123e+00 2.203404237634960516e-01
5.276381909547738225e+00 2.857597222249133595e-01
5.351758793969848327e+00 3.560387806281120060e-01
5.427135678391959317e+00 4.295834106331564151e-01
5.502512562814070307e+00 5.047253486878153783e-01
5.577889447236180409e+00 5.797600984000085278e-01
5.653266331658290511e+00 6.529855948047357250e-01
5.728643216080401501e+00 7.227408134772714821e-01
5.804020100502512491e+00 7.874434486954795531e-01
5.879396984924622593e+00 8.456258059715340281e-01
5.954773869346732695e+00 8.959680947779709026e-01
6.030150753768843686e+00 9.373283662662370563e-01
6.105527638190954676e+00 9.687684168798067486e-01
6.180904522613064778e+00 9.895750702723502545e-01
6.256281407035174880e+00 9.992763547785543654e-01
6.331658291457285870e+00 9.976522094728212942e-01
6.407035175879396860e+00 9.847394759629870542e-01
6.482412060301506962e+00 9.608310626867266890e-01
6.557788944723617064e+00 9.264693006674962206e-01
6.633165829145728054e+00 8.824336414459891254e-01
6.708542713567839044e+00 8.297229762433921962e-01
6.783919597989949146e+00 7.695329774230782460e-01
6.859296482412059248e+00 7.032289762299456237e-01
6.934673366834170238e+00 6.323149920403925428e-01
7.010050251256281229e+00 5.583996156537573974e-01
7.085427135678391330e+00 4.831595205180753139e-01
7.160804020100501432e+00 4.083014295901769009e-01
7.236180904522612423e+00 3.355234005620481019e-01
7.311557788944723413e+00 2.664763076473792291e-01
7.386934673366833515e+00 2.027263936634816910e-01
7.462311557788943617e+00 1.457197418655111210e-01
7.537688442211054607e+00 9.674947344290694973e-02
7.613065326633165597e+00 5.692641475983663268e-02
7.688442211055275699e+00 2.715389971484178516e-02
7.763819095477385801e+00 8.107278795160471202e-03
7.839195979899496791e+00 2.185996359676390505e-04
7.914572864321607781e+00 3.666806585961267240e-03
7.989949748743717883e+00 1.837368158931839551e-02
8.065326633165827985e+00 4.400561845978789161e-02
8.140703517587938975e+00 7.998119029983580264e-02
8.216080402010049966e+00 1.254843384078657142e-01
8.291457286432159179e+00 1.794828835004237400e-01
8.366834170854270170e+00 2.407519393465921698e-01
8.442211055276381160e+00 3.079016977069293781e-01
