phi S
0.000000000000000000e+00 2.812348165717498127e-01
1.570796326794896558e-01 2.793403428177787529e-01
3.141592653589793116e-01 2.737035697870862649e-01
4.712388980384689674e-01 2.645537439346581365e-01
6.283185307179586232e-01 2.536906180881400852e-01
7.853981633974482790e-01 2.401881199834385583e-01
9.424777960769379348e-01 2.253916579685592003e-01
1.099557428756427591e+00 2.106288957524772021e-01
1.256637061435917246e+00 1.973199071801958193e-01
1.413716694115406902e+00 1.860182182493129999e-01
1.570796326794896558e+00 1.778209965959780536e-01
1.727875959474386214e+00 1.737328520832681633e-01
1.884955592153875870e+00 1.735195210404622546e-01
2.042035224833365525e+00 1.782050241497449283e-01
2.199114857512855181e+00 1.903528847281374670e-01
2.356194490192344837e+00 2.033532704568004890e-01
2.513274122871834493e+00 2.156031181394187368e-01
2.670353755551324149e+00 2.259178864792588393e-01
2.827433388230813804e+00 2.334725310637596474e-01
2.984513020910303460e+00 2.380810314708228514e-01
3.141592653589793116e+00 2.396299111256903480e-01
