t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943263905586947615e-01
1.507537688442210921e-01 9.774021012850249157e-01
2.261306532663316382e-01 9.495149243005956974e-01
3.015075376884421843e-01 9.111384659362893323e-01
3.768844221105527303e-01 8.629232019735989523e-01
4.522613065326632764e-01 8.056842044334507902e-01
5.276381909547738225e-01 7.403857832429900920e-01
6.030150753768843686e-01 6.681233470332241797e-01
6.783919597989949146e-01 5.901028420393346074e-01
7.537688442211054607e-01 5.076181754802486790e-01
8.291457286432160068e-01 4.220270689259325581e-01
9.045226130653265528e-01 3.347258172327347014e-01
9.798994974874370989e-01 2.471234490397434258e-01
1.055276381909547645e+00 1.606157951734259182e-01
1.130653266331658191e+00 7.655997141279534401e-02
1.206030150753768737e+00 3.750228056093040351e-03
1.281407035175879283e+00 7.910755028752590456e-02
1.356783919597989829e+00 1.484126697953408180e-01
1.432160804020100375e+00 2.106933334172745309e-01
1.507537688442210921e+00 2.651209026088029996e-01
1.582914572864321467e+00 3.110239857872411640e-01
1.658291457286432014e+00 3.478989131818040481e-01
1.733668341708542560e+00 3.754168712311679035e-01
1.809045226130653106e+00 3.934275815648390906e-01
1.884422110552763652e+00 4.019594796000353631e-01
1.959798994974874198e+00 4.012164183369740789e-01
2.035175879396984744e+00 3.915709925910614286e-01
2.110552763819095290e+00 3.735546462330456841e-01
2.185929648241205836e+00 3.478447886438501557e-01
2.261306532663316382e+00 3.152492052377214304e-01
2.336683417085426928e+00 2.766880993825416857e-01
2.412060301507537474e+00 2.331741482996970150e-01
2.487437185929648020e+00 1.857909926625417874e-01
2.562814070351758566e+00 1.356706079095499340e-01
2.638190954773869112e+00 8.397002421036521558e-02
2.713567839195979658e+00 3.184787123226730243e-02
2.788944723618090205e+00 1.955877678278603038e-02
2.864321608040200751e+00 6.915679053249668140e-02
2.939698492462311297e+00 1.159181645733627364e-01
3.015075376884421843e+00 1.588995693966571698e-01
3.090452261306532389e+00 1.972598977209189530e-01
3.165829145728642935e+00 2.302754709077329820e-01
3.241206030150753481e+00 2.573526228115529113e-01
3.316582914572864027e+00 2.780374352208607736e-01
3.391959798994974573e+00 2.920224601150618327e-01
3.467336683417085119e+00 2.991503279457872200e-01
3.542713567839195665e+00 2.994142066957978243e-01
3.618090452261306211e+00 2.929551421917604426e-01
3.693467336683416757e+00 2.800563746717150693e-01
3.768844221105527303e+00 2.611347885904861665e-01
3.844221105527637850e+00 2.367297108048677101e-01
3.919597989949748396e+00 2.074893254216687577e-01
3.994974874371858942e+00 1.741550206356627384e-01
4.070351758793969488e+00 1.375440228862698511e-01
4.145728643216079590e+00 9.853070583146879280e-02
4.221105527638190580e+00 5.802698535534869806e-02
4.296482412060301570e+00 1.696222665506711205e-02
4.371859296482411672e+00 2.373690485231665787e-02
4.447236180904521774e+00 6.316622055343876219e-02
4.522613065326632764e+00 1.004629978753731334e-01
4.597989949748743754e+00 1.348237872573626872e-01
4.673366834170853856e+00 1.655206718079417494e-01
4.748743718592963958e+00 1.919156515279749897e-01
4.824120603015074948e+00 2.134728675690766853e-01
4.899497487437185939e+00 2.297684312659390993e-01
4.974874371859296041e+00 2.404976765370929748e-01
5.050251256281406143e+00 2.454797115080468994e-01
5.125628140703517133e+00 2.446592046253842356e-01
5.201005025125628123e+00 2.381054008143863032e-01
5.276381909547738225e+00 2.260084230901909241e-01
5.351758793969848327e+00 2.086729731852690617e-01
5.427135678391959317e+00 1.865095999708349384e-01
5.502512562814070307e+00 1.600237555643613807e-01
5.577889447236180409e+00 1.298029049627843490e-01
5.653266331658290511e+00 9.650199487189649317e-02
5.728643216080401501e+00 6.082762030476299153e-02
5.804020100502512491e+00 2.352125283742937528e-02
5.879396984924622593e+00 1.465808835276228780e-02
5.954773869346732695e+00 5.295133269713478419e-02
6.030150753768843686e+00 9.061663140718630161e-02
6.105527638190954676e+00 1.269460254783690567e-01
6.180904522613064778e+00 1.612811427966563682e-01
6.256281407035174880e+00 1.930275828520891523e-01
6.331658291457285870e+00 2.216676790569537536e-01
6.407035175879396860e+00 2.467713666925873128e-01
6.482412060301506962e+00 2.680049282053414972e-01
6.557788944723617064e+00 2.851374359593367158e-01
6.633165829145728054e+00 2.980447645568037873e-01
6.708542713567839044e+00 3.067110993099659288e-01
6.783919597989949146e+00 3.112279231992123307e-01
6.859296482412059248e+00 3.117905204677660080e-01
6.934673366834170238e+00 3.086920896757880950e-01
7.010050251256281229e+00 3.023156113910197007e-01
7.085427135678391330e+00 2.931236646093059450e-01
7.160804020100501432e+00 2.816464304375187466e-01
7.236180904522612423e+00 2.684681605964972517e-01
7.311557788944723413e+00 2.542124210971887233e-01
7.386934673366833515e+00 2.395264473320953547e-01
7.462311557788943617e+00 2.250649652816014146e-01
7.537688442211054607e+00 2.114738441981950379e-01
7.613065326633165597e+00 1.993739488081652245e-01
7.688442211055275699e+00 1.893455537394020949e-01
7.763819095477385801e+00 1.819136696971319911e-01
7.839195979899496791e+00 1.775346101860042214e-01
7.914572864321607781e+00 1.765840997963241676e-01
7.989949748743717883e+00 1.793471908625509648e-01
8.065326633165827985e+00 1.860102154261822349e-01
8.140703517587938975e+00 1.966549547730232494e-01
8.216080402010049966e+00 2.112551603447918869e-01
8.291457286432159179e+00 2.296755086016947500e-01
8.366834170854270170e+00 2.516730195442728468e-01
8.442211055276381160e+00 2.769009152271987295e-01
8.517587939698492150e+00 3.049148418577769526e-01
8.592964824120603140e+00 3.351813280910801440e-01
8.668341708542712354e+00 3.670883039925144642e-01
8.743718592964823344e+00 3.999574608514814833e-01
8.819095477386934334e+00 4.330581925240610808e-01
8.894472361809043548e+00 4.656228250792669443e-01
8.969849246231154538e+00 4.968628139200025884e-01
9.045226130653265528e+00 5.259855668069624013e-01
9.120603015075376518e+00 5.522115377433118866e-01
9.195979899497487509e+00 5.747912307359559492e-01
9.271356783919596722e+00 5.930217541307174489e-01
9.346733668341707713e+00 6.062625754573145453e-01
9.422110552763818703e+00 6.139501432899481248e-01
9.497487437185927917e+00 6.156110661514048177e-01
9.572864321608038907e+00 6.108735684393719056e-01
9.648241206030149897e+00 5.994769790771499185e-01
9.723618090452260887e+00 5.812790493137447445e-01
9.798994974874371877e+00 5.562609409462853094e-01
9.874371859296481091e+00 5.245297742556908061e-01
