kappa E_singlet E_nonsinglet gap
0.000000000000000000e+00 nan 0.000000000000000000e+00 nan
5.000000000000000000e-01 1.110223024625156540e-16 1.499999999999998890e+00 1.499999999999998668e+00
1.000000000000000000e+00 2.220446049250313081e-16 2.999999999999997780e+00 2.999999999999997335e+00
2.000000000000000000e+00 4.440892098500626162e-16 5.999999999999995559e+00 5.999999999999994671e+00
5.000000000000000000e+00 4.440892098500626162e-15 1.499999999999998934e+01 1.499999999999998579e+01
1.000000000000000000e+01 8.881784197001252323e-15 2.999999999999997868e+01 2.999999999999997158e+01
2.000000000000000000e+01 1.776356839400250465e-14 5.999999999999995737e+01 5.999999999999994316e+01
5.000000000000000000e+01 9.947598300641402602e-14 1.499999999999997726e+02 1.499999999999996589e+02
