t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943263905587462759e-01
1.507537688442210921e-01 9.774021012982243573e-01
2.261306532663316382e-01 9.495149246378182806e-01
3.015075376884421843e-01 9.111384692898484294e-01
3.768844221105527303e-01 8.629232218489737427e-01
4.522613065326632764e-01 8.056842893013809181e-01
5.276381909547738225e-01 7.403860721407147238e-01
6.030150753768843686e-01 6.681241798556264433e-01
6.783919597989949146e-01 5.901049559673517964e-01
7.537688442211054607e-01 5.076230273690046646e-01
8.291457286432160068e-01 4.220373314476013604e-01
9.045226130653265528e-01 3.347461035458403344e-01
9.798994974874370989e-01 2.471613261456707122e-01
1.055276381909547645e+00 1.606831493567143221e-01
1.130653266331658191e+00 7.667478972913788215e-02
1.206030150753768737e+00 3.561598822752745728e-03
1.281407035175879283e+00 7.880761177588843647e-02
1.356783919597989829e+00 1.479494015889389336e-01
1.432160804020100375e+00 2.099962116768561704e-01
1.507537688442210921e+00 2.640962927784306635e-01
1.582914572864321467e+00 3.095499151212232625e-01
1.658291457286432014e+00 3.458192528395035437e-01
1.733668341708542560e+00 3.725349844098551633e-01
1.809045226130653106e+00 3.894995229503711021e-01
1.884422110552763652e+00 3.966868615432603828e-01
1.959798994974874198e+00 3.942390897278214013e-01
2.035175879396984744e+00 3.824597064266870294e-01
2.110552763819095290e+00 3.618039203177509933e-01
2.185929648241205836e+00 3.328661896344169979e-01
2.261306532663316382e+00 2.963653082683026518e-01
2.336683417085426928e+00 2.531273927039116023e-01
2.412060301507537474e+00 2.040671637439056552e-01
2.487437185929648020e+00 1.501679473850300872e-01
2.562814070351758566e+00 9.246083998281214023e-02
2.638190954773869112e+00 3.200349362055754376e-02
2.713567839195979658e+00 3.014102177677631736e-02
2.788944723618090205e+00 9.292483249395019906e-02
2.864321608040200751e+00 1.553349233767541138e-01
2.939698492462311297e+00 2.164114490969929749e-01
3.015075376884421843e+00 2.752643319540957201e-01
3.090452261306532389e+00 3.310878284640011993e-01
3.165829145728642935e+00 3.831727981544286177e-01
3.241206030150753481e+00 4.309164644763737728e-01
3.316582914572864027e+00 4.738295182236007541e-01
3.391959798994974573e+00 5.115404769123832462e-01
3.467336683417085119e+00 5.437972777506742128e-01
3.542713567839195665e+00 5.704661456416380005e-01
3.618090452261306211e+00 5.915278396613891099e-01
3.693467336683416757e+00 6.070714402164538726e-01
3.768844221105527303e+00 6.172858932979317093e-01
3.844221105527637850e+00 6.224495766946289699e-01
3.919597989949748396e+00 6.229181946353650190e-01
3.994974874371858942e+00 6.191113411943380829e-01
4.070351758793969488e+00 6.114980981907891522e-01
4.145728643216079590e+00 6.005820497236087352e-01
4.221105527638190580e+00 5.868861025930764974e-01
4.296482412060301570e+00 5.709374995838299993e-01
4.371859296482411672e+00 5.532534010429230875e-01
4.447236180904521774e+00 5.343273897275764295e-01
4.522613065326632764e+00 5.146172250689851069e-01
4.597989949748743754e+00 4.945341365447274984e-01
4.673366834170853856e+00 4.744339026919643931e-01
4.748743718592963958e+00 4.546099134993825119e-01
4.824120603015074948e+00 4.352883606886406298e-01
4.899497487437185939e+00 4.166256440368555358e-01
4.974874371859296041e+00 3.987080237706625008e-01
5.050251256281406143e+00 3.815534905872124405e-01
5.125628140703517133e+00 3.651157674399060360e-01
5.201005025125628123e+00 3.492903022500245536e-01
5.276381909547738225e+00 3.339220594918348439e-01
5.351758793969848327e+00 3.188148723786840000e-01
5.427135678391959317e+00 3.037420772609907837e-01
5.502512562814070307e+00 2.884581187973711547e-01
5.577889447236180409e+00 2.727107892721399862e-01
5.653266331658290511e+00 2.562537487134116665e-01
5.728643216080401501e+00 2.388589646217317841e-01
5.804020100502512491e+00 2.203287113442556344e-01
5.879396984924622593e+00 2.005067794030321315e-01
5.954773869346732695e+00 1.792885641715673828e-01
6.030150753768843686e+00 1.566297307454903587e-01
6.105527638190954676e+00 1.325531870249820332e-01
6.180904522613064778e+00 1.071541390882218558e-01
6.256281407035174880e+00 8.060305089053786121e-02
6.331658291457285870e+00 5.314638303473339515e-02
