t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943263905586947615e-01
1.507537688442210921e-01 9.774021012850249157e-01
2.261306532663316382e-01 9.495149243005956974e-01
3.015075376884421843e-01 9.111384659362893323e-01
3.768844221105527303e-01 8.629232019735989523e-01
4.522613065326632764e-01 8.056842044334509012e-01
5.276381909547738225e-01 7.403857832429900920e-01
6.030150753768843686e-01 6.681233470332241797e-01
6.783919597989949146e-01 5.901028420393344964e-01
7.537688442211054607e-01 5.076181754802476798e-01
8.291457286432160068e-01 4.220270689259278951e-01
9.045226130653265528e-01 3.347258172327163828e-01
9.798994974874370989e-01 2.471234490396781447e-01
1.055276381909547645e+00 1.606157951732140876e-01
1.130653266331658191e+00 7.655997141216323854e-02
1.206030150753768737e+00 3.750228057850523832e-03
1.281407035175879283e+00 7.910755029211090361e-02
1.356783919597989829e+00 1.484126698066496608e-01
1.432160804020100375e+00 2.106933334438026439e-01
1.507537688442210921e+00 2.651209026682901926e-01
1.582914572864321467e+00 3.110239859153136055e-01
1.658291457286432014e+00 3.478989134475173883e-01
1.733668341708542560e+00 3.754168717641363506e-01
1.809045226130653106e+00 3.934275826012756938e-01
1.884422110552763652e+00 4.019594815589229153e-01
1.959798994974874198e+00 4.012164219431669232e-01
2.035175879396984744e+00 3.915709990699396958e-01
2.110552763819095290e+00 3.735546576121933637e-01
2.185929648241205836e+00 3.478448082118860141e-01
2.261306532663316382e+00 3.152492382300351448e-01
2.336683417085426928e+00 2.766881539894478492e-01
2.412060301507537474e+00 2.331742371259054036e-01
2.487437185929648020e+00 1.857911348095079296e-01
2.562814070351758566e+00 1.356708319060344337e-01
2.638190954773869112e+00 8.397037208347503390e-02
2.713567839195979658e+00 3.184840409351740592e-02
2.788944723618090205e+00 1.955797116191798288e-02
2.864321608040200751e+00 6.915558756112648309e-02
2.939698492462311297e+00 1.159163893611810797e-01
3.015075376884421843e+00 1.588969790497892220e-01
3.090452261306532389e+00 1.972561583166407839e-01
3.165829145728642935e+00 2.302701278292692555e-01
3.241206030150753481e+00 2.573450628729608280e-01
3.316582914572864027e+00 2.780268387307850420e-01
3.391959798994974573e+00 2.920077407171604023e-01
3.467336683417085119e+00 2.991300577342032585e-01
3.542713567839195665e+00 2.993865237385742728e-01
3.618090452261306211e+00 2.929176372074036583e-01
3.693467336683416757e+00 2.800059531995176543e-01
3.768844221105527303e+00 2.610675045807786532e-01
3.844221105527637850e+00 2.366405671398750243e-01
3.919597989949748396e+00 2.073720364719515430e-01
3.994974874371858942e+00 1.740017315739563475e-01
4.070351758793969488e+00 1.373449801346886268e-01
4.145728643216079590e+00 9.827387272630094817e-02
4.221105527638190580e+00 5.769759689463680591e-02
4.296482412060301570e+00 1.654227706815354984e-02
4.371859296482411672e+00 2.426924798533409283e-02
4.447236180904521774e+00 6.383728177805063353e-02
4.522613065326632764e+00 1.013043447930560004e-01
4.597989949748743754e+00 1.358730722961028481e-01
4.673366834170853856e+00 1.668225695387969554e-01
4.748743718592963958e+00 1.935228953234028881e-01
4.824120603015074948e+00 2.154473882382484107e-01
4.899497487437185939e+00 2.321825988739317781e-01
4.974874371859296041e+00 2.434356449045994575e-01
5.050251256281406143e+00 2.490388628864743381e-01
5.125628140703517133e+00 2.489516897445953614e-01
5.201005025125628123e+00 2.432597669087464831e-01
5.276381909547738225e+00 2.321713196319484529e-01
5.351758793969848327e+00 2.160109219093961086e-01
5.427135678391959317e+00 1.952108123875795354e-01
5.502512562814070307e+00 1.702999775593569964e-01
5.577889447236180409e+00 1.418912643235913373e-01
5.653266331658290511e+00 1.106668237081124551e-01
5.728643216080401501e+00 7.736222040995710536e-02
5.804020100502512491e+00 4.274956814842722358e-02
5.879396984924622593e+00 7.620068172249798433e-03
5.954773869346732695e+00 2.723366269431595071e-02
6.030150753768843686e+00 6.103508746563638537e-02
6.105527638190954676e+00 9.304068862256316408e-02
6.180904522613064778e+00 1.225559885945018690e-01
6.256281407035174880e+00 1.489503113447883942e-01
6.331658291457285870e+00 1.716699760637427352e-01
6.407035175879396860e+00 1.902496511506491794e-01
6.482412060301506962e+00 2.043216394058150198e-01
6.557788944723617064e+00 2.136229126843804393e-01
6.633165829145728054e+00 2.179997651201056874e-01
6.708542713567839044e+00 2.174100072768581360e-01
6.783919597989949146e+00 2.119226780516819952e-01
6.859296482412059248e+00 2.017153056420601664e-01
6.934673366834170238e+00 1.870688022158498998e-01
7.010050251256281229e+00 1.683601279339377588e-01
7.085427135678391330e+00 1.460529075805085397e-01
7.160804020100501432e+00 1.206862262437401051e-01
7.236180904522612423e+00 9.286186835424019292e-02
7.311557788944723413e+00 6.323029614582305336e-02
7.386934673366833515e+00 3.247568860837535959e-02
7.462311557788943617e+00 1.300379762829637076e-03
7.537688442211054607e+00 2.959095472755770076e-02
7.613065326633165597e+00 5.950701115046105188e-02
7.688442211055275699e+00 8.778512537040393526e-02
7.763819095477385801e+00 1.138057611588564472e-01
7.839195979899496791e+00 1.370059059596385742e-01
7.914572864321607781e+00 1.568910876009267930e-01
7.989949748743717883e+00 1.730457583269812971e-01
8.065326633165827985e+00 1.851418306983448892e-01
8.140703517587938975e+00 1.929451925201642604e-01
8.216080402010049966e+00 1.963200740347057216e-01
8.291457286432159179e+00 1.952311891172974767e-01
8.366834170854270170e+00 1.897436220601654844e-01
8.442211055276381160e+00 1.800204816093099180e-01
8.517587939698492150e+00 1.663183931318327480e-01
8.592964824120603140e+00 1.489809470577440620e-01
8.668341708542712354e+00 1.284302660344390778e-01
8.743718592964823344e+00 1.051568935993021647e-01
8.819095477386934334e+00 7.970824275495533295e-02
8.894472361809043548e+00 5.267587287236945304e-02
8.969849246231154538e+00 2.468188722660048101e-02
9.045226130653265528e+00 3.635239294836245007e-03
9.120603015075376518e+00 3.163508251307511204e-02
9.195979899497487509e+00 5.868961840738293884e-02
9.271356783919596722e+00 8.419718086139763025e-02
9.346733668341707713e+00 1.075957199765231326e-01
9.422110552763818703e+00 1.283750710628486780e-01
9.497487437185927917e+00 1.460879685545494466e-01
9.572864321608038907e+00 1.603595689523929779e-01
9.648241206030149897e+00 1.708952817705763072e-01
9.723618090452260887e+00 1.774867465522830812e-01
9.798994974874371877e+00 1.800158364236002506e-01
9.874371859296481091e+00 1.784566134169254248e-01
