phi S
0.000000000000000000e+00 4.921054708925350907e-01
1.570796326794896558e-01 4.885779512673177893e-01
3.141592653589793116e-01 4.791921092189496689e-01
4.712388980384689674e-01 4.643667390908923220e-01
6.283185307179586232e-01 4.445516000921118649e-01
7.853981633974482790e-01 4.236000547313575892e-01
9.424777960769379348e-01 4.016514611976333415e-01
1.099557428756427591e+00 3.803899800190813085e-01
1.256637061435917246e+00 3.631967306150613028e-01
1.413716694115406902e+00 3.477981688245652125e-01
1.570796326794896558e+00 3.463581464097855167e-01
1.727875959474386214e+00 3.750210647720156332e-01
1.884955592153875870e+00 4.142970894504371393e-01
2.042035224833365525e+00 4.565542985576554469e-01
2.199114857512855181e+00 4.973557346831630199e-01
2.356194490192344837e+00 5.358970504242299704e-01
2.513274122871834493e+00 5.726666705438812066e-01
2.670353755551324149e+00 6.027975672601979529e-01
2.827433388230813804e+00 6.248657522358000982e-01
2.984513020910303460e+00 6.383278335164813688e-01
3.141592653589793116e+00 6.428523299830244397e-01
