t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943282905995867171e-01
1.507537688442210921e-01 9.774323984431959600e-01
2.261306532663316382e-01 9.496674338848685171e-01
3.015075376884421843e-01 9.116166459595995697e-01
3.768844221105527303e-01 8.640787207518421109e-01
4.522613065326632764e-01 8.080503958795421937e-01
5.276381909547738225e-01 7.447047771554344830e-01
6.030150753768843686e-01 6.753658387672787367e-01
6.783919597989949146e-01 6.014796727994196068e-01
7.537688442211054607e-01 5.245831257069792919e-01
8.291457286432160068e-01 4.462705168447554938e-01
9.045226130653265528e-01 3.681591760616894637e-01
9.798994974874370989e-01 2.918545627660331654e-01
1.055276381909547645e+00 2.189157371858956314e-01
1.130653266331658191e+00 1.508219456192880503e-01
1.206030150753768737e+00 8.894105550038518271e-02
1.281407035175879283e+00 3.450053370142367598e-02
1.356783919597989829e+00 1.143839639047825041e-02
1.432160804020100375e+00 4.800285552021463231e-02
1.507537688442210921e+00 7.452618799629852353e-02
1.582914572864321467e+00 9.056123614052535853e-02
1.658291457286432014e+00 9.588872961907271564e-02
1.733668341708542560e+00 9.052061926485899246e-02
1.809045226130653106e+00 7.469829838645006270e-02
1.884422110552763652e+00 4.888576902598352342e-02
1.959798994974874198e+00 1.375792359799486719e-02
2.035175879396984744e+00 2.981577873059745865e-02
2.110552763819095290e+00 8.079185912142677894e-02
2.185929648241205836e+00 1.379771141622662400e-01
2.261306532663316382e+00 2.000561007817749926e-01
2.336683417085426928e+00 2.656211827692619987e-01
2.412060301507537474e+00 3.332044549788232279e-01
2.487437185929648020e+00 4.013108211292475414e-01
2.562814070351758566e+00 4.684514773673822408e-01
2.638190954773869112e+00 5.331770469541630142e-01
2.713567839195979658e+00 5.941096216866106339e-01
2.788944723618090205e+00 6.499729927265031071e-01
2.864321608040200751e+00 6.996203967278218361e-01
2.939698492462311297e+00 7.420591615355746073e-01
3.015075376884421843e+00 7.764717079210251560e-01
3.090452261306532389e+00 8.022324481639768745e-01
3.165829145728642935e+00 8.189202168591211972e-01
3.241206030150753481e+00 8.263259719485531729e-01
3.316582914572864027e+00 8.244556123238957479e-01
3.391959798994974573e+00 8.135278699295721561e-01
3.467336683417085119e+00 7.939673465931195162e-01
3.542713567839195665e+00 7.663928762553875451e-01
3.618090452261306211e+00 7.316014993641384301e-01
3.693467336683416757e+00 6.905484355217998971e-01
3.768844221105527303e+00 6.443235307911850951e-01
3.844221105527637850e+00 5.941247353184166968e-01
3.919597989949748396e+00 5.412292333404502553e-01
3.994974874371858942e+00 4.869628997098562895e-01
4.070351758793969488e+00 4.326687936243874821e-01
4.145728643216079590e+00 3.796754204801018329e-01
4.221105527638190580e+00 3.292654962337139279e-01
4.296482412060301570e+00 2.826459353041970157e-01
4.371859296482411672e+00 2.409197531905425405e-01
4.447236180904521774e+00 2.050605293331039802e-01
4.522613065326632764e+00 1.758900153606735572e-01
4.597989949748743754e+00 1.540594001404138602e-01
4.673366834170853856e+00 1.400346576822892875e-01
4.748743718592963958e+00 1.340863089075580439e-01
4.824120603015074948e+00 1.362838257556455990e-01
4.899497487437185939e+00 1.464947984285974725e-01
4.974874371859296041e+00 1.643888762267025072e-01
5.050251256281406143e+00 1.894463819418818473e-01
5.125628140703517133e+00 2.209713916783997423e-01
5.201005025125628123e+00 2.581089687390189513e-01
5.276381909547738225e+00 2.998661442126011045e-01
5.351758793969848327e+00 3.451361503241204276e-01
5.427135678391959317e+00 3.927253374420061061e-01
5.502512562814070307e+00 4.413821436013342647e-01
5.577889447236180409e+00 4.898274379151003610e-01
5.653266331658290511e+00 5.367855273972446106e-01
5.728643216080401501e+00 5.810151012405679882e-01
5.804020100502512491e+00 6.213393878361340716e-01
5.879396984924622593e+00 6.566748177620843618e-01
5.954773869346732695e+00 6.860575202009472351e-01
6.030150753768843686e+00 7.086670299852952937e-01
6.105527638190954676e+00 7.238466465867962052e-01
6.180904522613064778e+00 7.311199633894668315e-01
6.256281407035174880e+00 7.302031737648043697e-01
6.331658291457285870e+00 7.210128577793096794e-01
6.407035175879396860e+00 7.036690575893893573e-01
6.482412060301506962e+00 6.784935583307821760e-01
6.557788944723617064e+00 6.460034021015564898e-01
6.633165829145728054e+00 6.068997729329042023e-01
6.708542713567839044e+00 5.620524979139821520e-01
6.783919597989949146e+00 5.124805114269224138e-01
6.859296482412059248e+00 4.593287234200559843e-01
6.934673366834170238e+00 4.038418166427312217e-01
7.010050251256281229e+00 3.473355698506837008e-01
7.085427135678391330e+00 2.911663625043932058e-01
7.160804020100501432e+00 2.366995600694974944e-01
7.236180904522612423e+00 1.852775066730284470e-01
7.311557788944723413e+00 1.381878629193519781e-01
7.386934673366833515e+00 9.663302085013111831e-02
7.462311557788943617e+00 6.170130545269568445e-02
7.537688442211054607e+00 3.434063327200143068e-02
7.613065326633165597e+00 1.533524442506857544e-02
7.688442211055275699e+00 5.286055867380800438e-03
7.763819095477385801e+00 4.595102656552588552e-03
7.839195979899496791e+00 1.345444202745014334e-02
7.914572864321607781e+00 3.183979441125210641e-02
7.989949748743717883e+00 5.950908837620101643e-02
8.065326633165827985e+00 9.600596526729401892e-02
8.140703517587938975e+00 1.406681865979196311e-01
8.216080402010049966e+00 1.926407755579781500e-01
8.291457286432159179e+00 2.508936158891842405e-01
8.366834170854270170e+00 3.142431292997875381e-01
8.442211055276381160e+00 3.813775588742656097e-01
8.517587939698492150e+00 4.508853027182819773e-01
8.592964824120603140e+00 5.212856712688764826e-01
8.668341708542712354e+00 5.910613849192722924e-01
8.743718592964823344e+00 6.586920871651984477e-01
8.819095477386934334e+00 7.226881233376781788e-01
8.894472361809043548e+00 7.816238267400208439e-01
8.969849246231154538e+00 8.341695628665715123e-01
9.045226130653265528e+00 8.791218081729670342e-01
9.120603015075376518e+00 9.154305820341163136e-01
9.195979899497487509e+00 9.422236081378529970e-01
9.271356783919596722e+00 9.588266533398670521e-01
9.346733668341707713e+00 9.647795763483801856e-01
9.422110552763818703e+00 9.598477136286086564e-01
9.497487437185927917e+00 9.440283334881728328e-01
9.572864321608038907e+00 9.175519991006046983e-01
9.648241206030149897e+00 8.808787947781546723e-01
9.723618090452260887e+00 8.346894845632434334e-01
