t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943263905586431362e-01
1.507537688442210921e-01 9.774021012718253631e-01
2.261306532663316382e-01 9.495149239633730032e-01
3.015075376884421843e-01 9.111384625827304573e-01
3.768844221105527303e-01 8.629231820982241619e-01
4.522613065326632764e-01 8.056841195655207732e-01
5.276381909547738225e-01 7.403854943452654602e-01
6.030150753768843686e-01 6.681225142108221382e-01
6.783919597989949146e-01 5.901007281113174185e-01
7.537688442211054607e-01 5.076133235914924713e-01
8.291457286432160068e-01 4.220168064042638112e-01
9.045226130653265528e-01 3.347055309196290684e-01
9.798994974874370989e-01 2.470855719338161671e-01
1.055276381909547645e+00 1.605484409901374310e-01
1.130653266331658191e+00 7.644515309645275036e-02
1.206030150753768737e+00 3.938857289433289437e-03
1.281407035175879283e+00 7.940748879916316449e-02
1.356783919597989829e+00 1.488759380017426748e-01
1.432160804020100375e+00 2.113904551576931967e-01
1.507537688442210921e+00 2.661455124391752802e-01
1.582914572864321467e+00 3.124980564532590099e-01
1.658291457286432014e+00 3.499785735241044415e-01
1.733668341708542560e+00 3.782987580524808102e-01
1.809045226130653106e+00 3.973556401793070791e-01
1.884422110552763652e+00 4.072320976568103434e-01
1.959798994974874198e+00 4.081937469461266454e-01
2.035175879396984744e+00 4.006822787554357168e-01
2.110552763819095290e+00 3.853053721483406524e-01
2.185929648241205836e+00 3.628233876532833690e-01
2.261306532663316382e+00 3.341331022071402090e-01
2.336683417085426928e+00 3.002488060611715470e-01
2.412060301507537474e+00 2.622811328554880417e-01
2.487437185929648020e+00 2.214140379400533210e-01
2.562814070351758566e+00 1.788803758362877971e-01
2.638190954773869112e+00 1.359365548001727209e-01
2.713567839195979658e+00 9.383676424131082161e-02
2.788944723618090205e+00 5.380727892837824933e-02
2.864321608040200751e+00 1.702134231176055668e-02
2.939698492462311297e+00 1.542488004973280140e-02
3.015075376884421843e+00 4.253480683921853633e-02
3.090452261306532389e+00 6.343196697783706761e-02
3.165829145728642935e+00 7.737814366103747121e-02
3.241206030150753481e+00 8.378878114673204980e-02
3.316582914572864027e+00 8.224535221812086239e-02
3.391959798994974573e+00 7.250444331774033579e-02
3.467336683417085119e+00 5.450337814090027572e-02
3.542713567839195665e+00 2.836226774995746422e-02
3.618090452261306211e+00 5.617555277868074674e-03
3.693467336683416757e+00 4.695869087302406708e-02
3.768844221105527303e+00 9.501631611695920965e-02
3.844221105527637850e+00 1.489901550848934664e-01
3.919597989949748396e+00 2.079395437920277812e-01
3.994974874371858942e+00 2.708012999230127726e-01
4.070351758793969488e+00 3.364100524182497276e-01
4.145728643216079590e+00 4.035206380606715659e-01
4.221105527638190580e+00 4.708321318823788793e-01
4.296482412060301570e+00 5.370130462736959487e-01
4.371859296482411672e+00 6.007272107475561951e-01
4.447236180904521774e+00 6.606598308344537873e-01
4.522613065326632764e+00 7.155432208197314292e-01
4.597989949748743754e+00 7.641817110594526508e-01
4.673366834170853856e+00 8.054752463078477254e-01
4.748743718592963958e+00 8.384412165553325469e-01
4.824120603015074948e+00 8.622340958267938893e-01
4.899497487437185939e+00 8.761625065687332903e-01
4.974874371859296041e+00 8.797033768448486724e-01
5.050251256281406143e+00 8.725129136033060728e-01
5.125628140703517133e+00 8.544341766906740077e-01
5.201005025125628123e+00 8.255011038787978261e-01
5.276381909547738225e+00 7.859389056722170253e-01
5.351758793969848327e+00 7.361608187492223454e-01
5.427135678391959317e+00 6.767612772026606605e-01
5.502512562814070307e+00 6.085056299260936941e-01
5.577889447236180409e+00 5.323165991977082401e-01
5.653266331658290511e+00 4.492577384572051247e-01
5.728643216080401501e+00 3.605142052312579337e-01
5.804020100502512491e+00 2.673712170191144266e-01
5.879396984924622593e+00 1.711906026975071882e-01
5.954773869346732695e+00 7.338589877729738420e-02
6.030150753768843686e+00 2.460353206888194963e-02
6.105527638190954676e+00 1.213388639317564688e-01
6.180904522613064778e+00 2.154081465050907140e-01
6.256281407035174880e+00 3.054521148136403186e-01
6.331658291457285870e+00 3.901889750791747713e-01
6.407035175879396860e+00 4.684376918152048930e-01
6.482412060301506962e+00 5.391393302625948625e-01
6.557788944723617064e+00 6.013760459181647366e-01
6.633165829145728054e+00 6.543873584381187936e-01
6.708542713567839044e+00 6.975833997357048233e-01
6.783919597989949146e+00 7.305548846208711478e-01
6.859296482412059248e+00 7.530796157153383241e-01
6.934673366834170238e+00 7.651254013923254327e-01
7.010050251256281229e+00 7.668493348384727293e-01
7.085427135678391330e+00 7.585934526736912709e-01
7.160804020100501432e+00 7.408768615309430094e-01
7.236180904522612423e+00 7.143844892377069211e-01
7.311557788944723413e+00 6.799526824331797448e-01
7.386934673366833515e+00 6.385519333379547913e-01
