t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943263905586947615e-01
1.507537688442210921e-01 9.774021012850249157e-01
2.261306532663316382e-01 9.495149243005956974e-01
3.015075376884421843e-01 9.111384659362893323e-01
3.768844221105527303e-01 8.629232019735989523e-01
4.522613065326632764e-01 8.056842044334509012e-01
5.276381909547738225e-01 7.403857832429900920e-01
6.030150753768843686e-01 6.681233470332241797e-01
6.783919597989949146e-01 5.901028420393343854e-01
7.537688442211054607e-01 5.076181754802466806e-01
8.291457286432160068e-01 4.220270689259232877e-01
9.045226130653265528e-01 3.347258172326981196e-01
9.798994974874370989e-01 2.471234490396128913e-01
1.055276381909547645e+00 1.606157951730023681e-01
1.130653266331658191e+00 7.655997141153089713e-02
1.206030150753768737e+00 3.750228059608019457e-03
1.281407035175879283e+00 7.910755029669570837e-02
1.356783919597989829e+00 1.484126698179583093e-01
1.432160804020100375e+00 2.106933334703305905e-01
1.507537688442210921e+00 2.651209027277774966e-01
1.582914572864321467e+00 3.110239860433858250e-01
1.658291457286432014e+00 3.478989137132306175e-01
1.733668341708542560e+00 3.754168722971046868e-01
1.809045226130653106e+00 3.934275836377120195e-01
1.884422110552763652e+00 4.019594835178108005e-01
1.959798994974874198e+00 4.012164255493595455e-01
2.035175879396984744e+00 3.915710055488180186e-01
2.110552763819095290e+00 3.735546689913407659e-01
2.185929648241205836e+00 3.478448277799217059e-01
2.261306532663316382e+00 3.152492712223490812e-01
2.336683417085426928e+00 2.766882085963539573e-01
2.412060301507537474e+00 2.331743259521139311e-01
2.487437185929648020e+00 1.857912769564739053e-01
2.562814070351758566e+00 1.356710559025193497e-01
2.638190954773869112e+00 8.397071995658501875e-02
2.713567839195979658e+00 3.184893695476766901e-02
2.788944723618090205e+00 1.955716554105005334e-02
2.864321608040200751e+00 6.915438458975621538e-02
2.939698492462311297e+00 1.159146141489989928e-01
3.015075376884421843e+00 1.588943887029210245e-01
3.090452261306532389e+00 1.972524189123627258e-01
3.165829145728642935e+00 2.302647847508053069e-01
3.241206030150753481e+00 2.573375029343689113e-01
3.316582914572864027e+00 2.780162422407094769e-01
3.391959798994974573e+00 2.919930213192589719e-01
3.467336683417085119e+00 2.991097875226192415e-01
3.542713567839195665e+00 2.993588407813509988e-01
3.618090452261306211e+00 2.928801322230466520e-01
3.693467336683416757e+00 2.799555317273203503e-01
3.768844221105527303e+00 2.610002205710716949e-01
3.844221105527637850e+00 2.365514234748824496e-01
3.919597989949748396e+00 2.072547475222346613e-01
3.994974874371858942e+00 1.738484425122503729e-01
4.070351758793969488e+00 1.371459373831080686e-01
4.145728643216079590e+00 9.801703962113403334e-02
4.221105527638190580e+00 5.736820843392655828e-02
4.296482412060301570e+00 1.612232748124300952e-02
4.371859296482411672e+00 2.480159111834618832e-02
4.447236180904521774e+00 6.450834300265306798e-02
4.522613065326632764e+00 1.021456917107236989e-01
4.597989949748743754e+00 1.369223573348174461e-01
4.673366834170853856e+00 1.681244672696107778e-01
4.748743718592963958e+00 1.951301391187629519e-01
4.824120603015074948e+00 2.174219089073098354e-01
4.899497487437185939e+00 2.345967664817472653e-01
4.974874371859296041e+00 2.463736132718237493e-01
5.050251256281406143e+00 2.525980142644554949e-01
5.125628140703517133e+00 2.532441748631069633e-01
5.201005025125628123e+00 2.484141330020170901e-01
5.276381909547738225e+00 2.383342161720209684e-01
5.351758793969848327e+00 2.233488706309353644e-01
5.427135678391959317e+00 2.039120248003772340e-01
5.502512562814070307e+00 1.805761995483711746e-01
5.577889447236180409e+00 1.539796236753907532e-01
5.653266331658290511e+00 1.248316525308484776e-01
5.728643216080401501e+00 9.389682049510117423e-02
5.804020100502512491e+00 6.197788342977791215e-02
5.879396984924622593e+00 2.989822465367687060e-02
5.954773869346732695e+00 1.515992755213683117e-03
6.030150753768843686e+00 3.145354361672048765e-02
6.105527638190954676e+00 5.913535190070889902e-02
6.180904522613064778e+00 8.383083458503134966e-02
6.256281407035174880e+00 1.048730401132322021e-01
6.331658291457285870e+00 1.216722734631629083e-01
6.407035175879396860e+00 1.337279361650312581e-01
6.482412060301506962e+00 1.406383513907513982e-01
6.557788944723617064e+00 1.421083905103863176e-01
6.633165829145728054e+00 1.379547672214445631e-01
6.708542713567839044e+00 1.281089173826823191e-01
6.783919597989949146e+00 1.126174358655876034e-01
6.859296482412059248e+00 9.164009489880547976e-02
6.934673366834170238e+00 6.544552035980727434e-02
7.010050251256281229e+00 3.440465213714529596e-02
7.085427135678391330e+00 1.017839019810568750e-03
7.160804020100501432e+00 4.027396380999571229e-02
7.236180904522612423e+00 8.274440479093869705e-02
7.311557788944723413e+00 1.277518031133698662e-01
7.386934673366833515e+00 1.745750356817152293e-01
7.462311557788943617e+00 2.224641597787780645e-01
7.537688442211054607e+00 2.706556924876840631e-01
7.613065326633165597e+00 3.183878900305131543e-01
7.688442211055275699e+00 3.649156973862558995e-01
7.763819095477385801e+00 4.095250510503020136e-01
7.839195979899496791e+00 4.515462371928793961e-01
7.914572864321607781e+00 4.903660332530188626e-01
7.989949748743717883e+00 5.254383925177998904e-01
8.065326633165827985e+00 5.562934677110996651e-01
8.140703517587938975e+00 5.825448101747203733e-01
8.216080402010049966e+00 6.038946249064498506e-01
8.291457286432159179e+00 6.201370075013065142e-01
8.366834170854270170e+00 6.311591358628330095e-01
8.442211055276381160e+00 6.369404363353760035e-01
8.517587939698492150e+00 6.375497895908891488e-01
8.592964824120603140e+00 6.331408851540760718e-01
8.668341708542712354e+00 6.239458738943370886e-01
8.743718592964823344e+00 6.102675042576509723e-01
8.819095477386934334e+00 5.924699596607676533e-01
8.894472361809043548e+00 5.709686406446725648e-01
8.969849246231154538e+00 5.462191555360982331e-01
9.045226130653265528e+00 5.187057970892593461e-01
9.120603015075376518e+00 4.889297896206868943e-01
9.195979899497487509e+00 4.573975914093844630e-01
9.271356783919596722e+00 4.246095306715781947e-01
9.346733668341707713e+00 3.910490404479425308e-01
9.422110552763818703e+00 3.571727386247477987e-01
9.497487437185927917e+00 3.234015745525589680e-01
9.572864321608038907e+00 2.901132339582802033e-01
9.648241206030149897e+00 2.576359598131164885e-01
9.723618090452260887e+00 2.262439093595030037e-01
9.798994974874371877e+00 1.961541275293491871e-01
9.874371859296481091e+00 1.675251754725003428e-01
