step,t,n_edges,fermion_fraction,boson_fraction,frac_FF,frac_BB,frac_FB,frac_other,ff_fraction_random,mean_fermion_distance
1220,61.00000000,2016,0.484375,0.453125,0.230655,0.201389,0.445933,0.122024,0.234619,1.0
1240,62.00000000,2016,0.328125,0.593750,0.104167,0.348710,0.395833,0.151290,0.107666,1.0
1260,63.00000000,2016,0.375000,0.562500,0.136905,0.312500,0.428571,0.122024,0.140625,1.0
1280,64.00000000,2016,0.359375,0.609375,0.125496,0.367560,0.444940,0.062004,0.129150,1.0
1300,65.00000000,2016,0.453125,0.515625,0.201389,0.261905,0.474702,0.062004,0.205322,1.0
1320,66.00000000,2016,0.468750,0.515625,0.215774,0.261905,0.491071,0.031250,0.219727,1.0
1340,67.00000000,2016,0.421875,0.562500,0.174107,0.312500,0.482143,0.031250,0.177979,1.0
1360,68.00000000,2016,0.453125,0.546875,0.201389,0.295139,0.503472,0.000000,0.205322,1.0
1380,69.00000000,2016,0.468750,0.515625,0.215774,0.261905,0.491071,0.031250,0.219727,1.0
1400,70.00000000,2016,0.468750,0.515625,0.215774,0.261905,0.491071,0.031250,0.219727,1.0
1420,71.00000000,2016,0.406250,0.562500,0.161210,0.312500,0.464286,0.062004,0.165039,1.0
1440,72.00000000,2016,0.500000,0.484375,0.246032,0.230655,0.492063,0.031250,0.250000,1.0
1460,73.00000000,2016,0.453125,0.500000,0.201389,0.246032,0.460317,0.092262,0.205322,1.0
1480,74.00000000,2016,0.531250,0.421875,0.278274,0.174107,0.455357,0.092262,0.282227,1.0
1500,75.00000000,2016,0.468750,0.500000,0.215774,0.246032,0.476190,0.062004,0.219727,1.0
1520,76.00000000,2016,0.343750,0.609375,0.114583,0.367560,0.425595,0.092262,0.118164,1.0
1540,77.00000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
1560,78.00000000,2016,0.406250,0.562500,0.161210,0.312500,0.464286,0.062004,0.165039,1.0
1580,79.00000000,2016,0.406250,0.531250,0.161210,0.278274,0.438492,0.122024,0.165039,1.0
1600,80.00000000,2016,0.484375,0.500000,0.230655,0.246032,0.492063,0.031250,0.234619,1.0
1620,81.00000000,2016,0.453125,0.500000,0.201389,0.246032,0.460317,0.092262,0.205322,1.0
1640,82.00000000,2016,0.406250,0.515625,0.161210,0.261905,0.425595,0.151290,0.165039,1.0
1660,83.00000000,2016,0.390625,0.546875,0.148810,0.295139,0.434028,0.122024,0.152588,1.0
1680,84.00000000,2016,0.468750,0.484375,0.215774,0.230655,0.461310,0.092262,0.219727,1.0
1700,85.00000000,2016,0.515625,0.453125,0.261905,0.201389,0.474702,0.062004,0.265869,1.0
1720,86.00000000,2016,0.406250,0.546875,0.161210,0.295139,0.451389,0.092262,0.165039,1.0
1740,87.00000000,2016,0.500000,0.453125,0.246032,0.201389,0.460317,0.092262,0.250000,1.0
1760,88.00000000,2016,0.453125,0.515625,0.201389,0.261905,0.474702,0.062004,0.205322,1.0
1780,89.00000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
1800,90.00000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
1820,91.00000000,2016,0.468750,0.500000,0.215774,0.246032,0.476190,0.062004,0.219727,1.0
1840,92.00000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
1860,93.00000000,2016,0.468750,0.468750,0.215774,0.215774,0.446429,0.122024,0.219727,1.0
1880,94.00000000,2016,0.375000,0.531250,0.136905,0.278274,0.404762,0.180060,0.140625,1.0
1900,95.00000000,2016,0.421875,0.500000,0.174107,0.246032,0.428571,0.151290,0.177979,1.0
1920,96.00000000,2016,0.421875,0.531250,0.174107,0.278274,0.455357,0.092262,0.177979,1.0
1940,97.00000000,2016,0.359375,0.578125,0.125496,0.330357,0.422123,0.122024,0.129150,1.0
1960,98.00000000,2016,0.437500,0.484375,0.187500,0.230655,0.430556,0.151290,0.191406,1.0
1980,99.00000000,2016,0.453125,0.484375,0.201389,0.230655,0.445933,0.122024,0.205322,1.0
2010,100.50000000,2016,0.531250,0.421875,0.278274,0.174107,0.455357,0.092262,0.282227,1.0
2030,101.50000000,2016,0.437500,0.531250,0.187500,0.278274,0.472222,0.062004,0.191406,1.0
2050,102.50000000,2016,0.500000,0.484375,0.246032,0.230655,0.492063,0.031250,0.250000,1.0
2070,103.50000000,2016,0.515625,0.468750,0.261905,0.215774,0.491071,0.031250,0.265869,1.0
2090,104.50000000,2016,0.437500,0.531250,0.187500,0.278274,0.472222,0.062004,0.191406,1.0
2110,105.50000000,2016,0.437500,0.531250,0.187500,0.278274,0.472222,0.062004,0.191406,1.0
2130,106.50000000,2016,0.437500,0.515625,0.187500,0.261905,0.458333,0.092262,0.191406,1.0
2150,107.50000000,2016,0.484375,0.500000,0.230655,0.246032,0.492063,0.031250,0.234619,1.0
2170,108.50000000,2016,0.468750,0.484375,0.215774,0.230655,0.461310,0.092262,0.219727,1.0
2190,109.50000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
2210,110.50000000,2016,0.453125,0.468750,0.201389,0.215774,0.431548,0.151290,0.205322,1.0
2230,111.50000000,2016,0.359375,0.578125,0.125496,0.330357,0.422123,0.122024,0.129150,1.0
2250,112.50000000,2016,0.484375,0.500000,0.230655,0.246032,0.492063,0.031250,0.234619,1.0
2270,113.50000000,2016,0.375000,0.546875,0.136905,0.295139,0.416667,0.151290,0.140625,1.0
2290,114.50000000,2016,0.421875,0.500000,0.174107,0.246032,0.428571,0.151290,0.177979,1.0
2310,115.50000000,2016,0.359375,0.609375,0.125496,0.367560,0.444940,0.062004,0.129150,1.0
2330,116.50000000,2016,0.421875,0.531250,0.174107,0.278274,0.455357,0.092262,0.177979,1.0
2350,117.50000000,2016,0.390625,0.546875,0.148810,0.295139,0.434028,0.122024,0.152588,1.0
2370,118.50000000,2016,0.328125,0.625000,0.104167,0.386905,0.416667,0.092262,0.107666,1.0
2390,119.50000000,2016,0.531250,0.421875,0.278274,0.174107,0.455357,0.092262,0.282227,1.0
2410,120.50000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
2430,121.50000000,2016,0.421875,0.515625,0.174107,0.261905,0.441964,0.122024,0.177979,1.0
2450,122.50000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
2470,123.50000000,2016,0.359375,0.625000,0.125496,0.386905,0.456349,0.031250,0.129150,1.0
2490,124.50000000,2016,0.406250,0.531250,0.161210,0.278274,0.438492,0.122024,0.165039,1.0
2510,125.50000000,2016,0.406250,0.562500,0.161210,0.312500,0.464286,0.062004,0.165039,1.0
2530,126.50000000,2016,0.437500,0.531250,0.187500,0.278274,0.472222,0.062004,0.191406,1.0
2550,127.50000000,2016,0.437500,0.546875,0.187500,0.295139,0.486111,0.031250,0.191406,1.0
2570,128.50000000,2016,0.453125,0.546875,0.201389,0.295139,0.503472,0.000000,0.205322,1.0
2590,129.50000000,2016,0.328125,0.625000,0.104167,0.386905,0.416667,0.092262,0.107666,1.0
2610,130.50000000,2016,0.468750,0.468750,0.215774,0.215774,0.446429,0.122024,0.219727,1.0
2630,131.50000000,2016,0.468750,0.484375,0.215774,0.230655,0.461310,0.092262,0.219727,1.0
2650,132.50000000,2016,0.359375,0.578125,0.125496,0.330357,0.422123,0.122024,0.129150,1.0
2670,133.50000000,2016,0.390625,0.562500,0.148810,0.312500,0.446429,0.092262,0.152588,1.0
2690,134.50000000,2016,0.359375,0.609375,0.125496,0.367560,0.444940,0.062004,0.129150,1.0
2710,135.50000000,2016,0.484375,0.484375,0.230655,0.230655,0.476687,0.062004,0.234619,1.0
2730,136.50000000,2016,0.453125,0.515625,0.201389,0.261905,0.474702,0.062004,0.205322,1.0
2750,137.50000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
2770,138.50000000,2016,0.484375,0.500000,0.230655,0.246032,0.492063,0.031250,0.234619,1.0
2790,139.50000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
2810,140.50000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
2830,141.50000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
2850,142.50000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
2870,143.50000000,2016,0.500000,0.453125,0.246032,0.201389,0.460317,0.092262,0.250000,1.0
2890,144.50000000,2016,0.468750,0.500000,0.215774,0.246032,0.476190,0.062004,0.219727,1.0
2910,145.50000000,2016,0.375000,0.593750,0.136905,0.348710,0.452381,0.062004,0.140625,1.0
2930,146.50000000,2016,0.500000,0.453125,0.246032,0.201389,0.460317,0.092262,0.250000,1.0
2950,147.50000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
2970,148.50000000,2016,0.296875,0.671875,0.084821,0.447917,0.405258,0.062004,0.088135,1.0
2990,149.50000000,2016,0.453125,0.531250,0.201389,0.278274,0.489087,0.031250,0.205322,1.0
3010,150.50000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
3030,151.50000000,2016,0.390625,0.546875,0.148810,0.295139,0.434028,0.122024,0.152588,1.0
3050,152.50000000,2016,0.453125,0.515625,0.201389,0.261905,0.474702,0.062004,0.205322,1.0
3070,153.50000000,2016,0.328125,0.640625,0.104167,0.406746,0.427083,0.062004,0.107666,1.0
3090,154.50000000,2016,0.468750,0.453125,0.215774,0.201389,0.431548,0.151290,0.219727,1.0
3110,155.50000000,2016,0.390625,0.546875,0.148810,0.295139,0.434028,0.122024,0.152588,1.0
3130,156.50000000,2016,0.343750,0.609375,0.114583,0.367560,0.425595,0.092262,0.118164,1.0
3150,157.50000000,2016,0.437500,0.531250,0.187500,0.278274,0.472222,0.062004,0.191406,1.0
3170,158.50000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
3190,159.50000000,2016,0.375000,0.593750,0.136905,0.348710,0.452381,0.062004,0.140625,1.0
3210,160.50000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
3230,161.50000000,2016,0.390625,0.546875,0.148810,0.295139,0.434028,0.122024,0.152588,1.0
3250,162.50000000,2016,0.406250,0.562500,0.161210,0.312500,0.464286,0.062004,0.165039,1.0
3270,163.50000000,2016,0.421875,0.515625,0.174107,0.261905,0.441964,0.122024,0.177979,1.0
3290,164.50000000,2016,0.375000,0.593750,0.136905,0.348710,0.452381,0.062004,0.140625,1.0
3310,165.50000000,2016,0.500000,0.484375,0.246032,0.230655,0.492063,0.031250,0.250000,1.0
3330,166.50000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
3350,167.50000000,2016,0.421875,0.562500,0.174107,0.312500,0.482143,0.031250,0.177979,1.0
3370,168.50000000,2016,0.437500,0.515625,0.187500,0.261905,0.458333,0.092262,0.191406,1.0
3390,169.50000000,2016,0.312500,0.625000,0.094246,0.386905,0.396825,0.122024,0.097656,1.0
3410,170.50000000,2016,0.359375,0.578125,0.125496,0.330357,0.422123,0.122024,0.129150,1.0
3430,171.50000000,2016,0.453125,0.531250,0.201389,0.278274,0.489087,0.031250,0.205322,1.0
3450,172.50000000,2016,0.359375,0.625000,0.125496,0.386905,0.456349,0.031250,0.129150,1.0
3470,173.50000000,2016,0.375000,0.562500,0.136905,0.312500,0.428571,0.122024,0.140625,1.0
3490,174.50000000,2016,0.406250,0.531250,0.161210,0.278274,0.438492,0.122024,0.165039,1.0
3510,175.50000000,2016,0.406250,0.531250,0.161210,0.278274,0.438492,0.122024,0.165039,1.0
3530,176.50000000,2016,0.359375,0.593750,0.125496,0.348710,0.433532,0.092262,0.129150,1.0
3550,177.50000000,2016,0.453125,0.500000,0.201389,0.246032,0.460317,0.092262,0.205322,1.0
3570,178.50000000,2016,0.421875,0.546875,0.174107,0.295139,0.468750,0.062004,0.177979,1.0
3590,179.50000000,2016,0.406250,0.546875,0.161210,0.295139,0.451389,0.092262,0.165039,1.0
3610,180.50000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
3630,181.50000000,2016,0.296875,0.687500,0.084821,0.469246,0.414683,0.031250,0.088135,1.0
3650,182.50000000,2016,0.421875,0.578125,0.174107,0.330357,0.495536,0.000000,0.177979,1.0
3670,183.50000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
3690,184.50000000,2016,0.375000,0.578125,0.136905,0.330357,0.440476,0.092262,0.140625,1.0
3710,185.50000000,2016,0.406250,0.531250,0.161210,0.278274,0.438492,0.122024,0.165039,1.0
3730,186.50000000,2016,0.359375,0.593750,0.125496,0.348710,0.433532,0.092262,0.129150,1.0
3750,187.50000000,2016,0.453125,0.515625,0.201389,0.261905,0.474702,0.062004,0.205322,1.0
3770,188.50000000,2016,0.468750,0.500000,0.215774,0.246032,0.476190,0.062004,0.219727,1.0
