node_id,electron_score,proton_score,photon_score,degree,clustering,total_entanglement,localization,coherence,excitation,redundancy
21,4.3626261076368325,3.462834114732226,-9.634593917583102,41.0,0.6390243902439025,1.0000000000000622,0.5518753566652805,1.57051171634999,0.7327458555248288,0.7488776068919378
41,4.1718479448494525,1.5280475723823521,-8.590669951742582,38.0,0.631578947368421,1.0000000000000624,0.4361585774726703,1.6129025627724878,0.8128247791765043,0.7462384547270022
60,3.355562039421388,-0.18971183592070837,-8.699372424785786,41.0,0.6475609756097561,0.500000000000062,0.4063453857059196,1.6687063340243067,0.5600507444532012,0.7674993891676064
13,2.6453318884487373,-0.34207004388239176,-3.112737528150709,36.0,0.6365079365079365,1.0000000000000628,0.2943240719820408,2.1541317547439967,0.8822411659237304,0.8229864653424311
11,2.4057881828728385,2.1766176040855236,-4.415330781621447,44.0,0.6596194503171248,1.0000000000000626,0.3309087601684544,2.0598311209962956,0.9562462059668014,0.8025635608438381
51,2.3746138966287633,-0.6582856536613859,-1.8708945111527078,37.0,0.6621621621621622,1.0000000000000626,0.23668424827996692,2.3014706814937615,0.9868737251550687,0.8318815475282041
28,2.309408090338043,0.1333552721652119,-2.158108146946896,39.0,0.6815114709851552,1.0000000000000622,0.26369418323438687,2.2081771132193997,0.9990495211840609,0.8382579243630525
8,2.192851690770045,-0.571550394884846,-2.082716351633358,37.0,0.6576576576576577,1.000000000000062,0.2411107214272492,2.262360430101798,0.9342664996560682,0.8301766698932466
18,2.025174067434,1.472927631240161,-3.418284490782014,43.0,0.6378737541528239,1.0000000000000626,0.28355918674780434,2.115549737254128,0.9632418500530899,0.8146997534120205
19,1.8245255583347977,0.7708425232761283,-6.663157798852033,37.0,0.6276276276276276,1.0000000000000608,0.3491161005695037,1.712389788583231,0.4983148074157001,0.7715268545722316
30,1.551326283393358,-1.896225415673876,0.8068268769648612,35.0,0.6218487394957983,1.000000000000063,0.15976433052885775,2.5488332611025126,0.9855471741968495,0.868930128631816
53,1.4842925124787727,0.42227201184790764,-2.6896243504044275,39.0,0.6410256410256411,1.0000000000000624,0.27322341226640456,2.177465203025106,0.7738683856329334,0.8279087920739385
17,1.4623756223105016,1.0646120235796739,-1.936586809269095,42.0,0.6318234610917538,1.0000000000000624,0.26287071385071126,2.3104339260088564,0.9020466314429392,0.8358387732589113
22,1.4446614046108344,0.45575957874663786,-2.3939960504800197,40.0,0.632051282051282,1.0000000000000622,0.2506874055959969,2.2475403976493076,0.8316576649908967,0.8248575530202682
31,1.440619425980474,-0.800482021169028,0.2539189045876979,38.0,0.6557610241820768,1.0000000000000626,0.18903766700393554,2.4549902392526426,0.9966108626046144,0.8682569326775321
6,1.440331031444846,1.7137649262197134,-3.077342787145433,43.0,0.654485049833887,1.0000000000000626,0.2982016604871168,2.1232650376450493,0.8396868683795191,0.8275831901140833
