node_id,is_fermion,is_boson,mean_phase,phase_spread,has_pi_winding,has_zero_winding,electron_score,photon_score
0,0,1,0.00952171370354087,0.6306936607243776,0,0,-1.2003183961638912,2.7508838739321355
1,0,0,0.025653294255254956,0.6958021919222939,0,0,1.1435590330757317,-1.777969114325507
2,0,1,-0.013358049825616782,0.5938950644974098,0,0,-3.2649213474027814,4.41703666976723
3,1,0,0.02334880351730938,0.6308751314232479,0,0,2.013278852725306,-5.055663783457959
4,0,1,0.015211013011209085,0.6166259103896401,0,0,-3.8829270971319123,2.7583704899824113
5,0,1,0.09019885646510312,0.6393085007378891,0,0,-0.5993318200833184,3.6959994605746465
6,0,1,-0.11025746824474618,0.728901785321109,0,0,-0.8249246009628477,3.699546616617744
7,0,0,-0.04029724962378096,0.703881991431107,0,0,-1.0849830655835844,-0.10323497390152765
8,0,0,-0.06282170414915843,0.4670101687788982,0,1,1.0775866657224193,-2.276809371672973
9,0,1,0.1422598598013812,0.6975089707245874,0,0,0.11149448081802615,3.0729877342782723
10,1,0,-0.026578552812714356,0.5860497482953893,0,0,1.382681475334694,-2.067587963501352
11,0,0,0.02700400103668983,0.6925264334701879,0,0,0.010895931971679623,-1.3197316790954967
12,0,0,0.09028288608662798,0.6927628161618781,0,0,0.47858218242708483,0.21622706777472064
13,0,1,-0.024836112638461038,0.7620618874680596,0,0,-3.4762724467014188,3.991067017548672
14,0,0,-0.07654118745172377,0.6589920003353367,0,0,1.1207209624950853,-4.277779271584212
15,1,0,-0.008212173401737983,0.4230152004142539,0,1,2.8873250193201114,-3.3072132707605735
16,0,1,-0.0037250955931472708,0.7132676298521632,0,0,-0.8489354201106887,3.904648583836855
17,1,0,-0.22224378510516915,0.7291092044310236,0,0,2.0225609897881753,-4.139087304504132
18,0,0,-0.05262050100078036,0.5794985505956148,0,0,-1.2405949076657536,-1.48316259228059
19,0,0,0.02416591041015917,0.5195767051764285,0,0,0.14220646895555078,-2.570083187491082
20,0,0,-0.01648227930870753,0.6908414560066216,0,0,0.04803468135384459,-1.735874835181435
21,0,0,0.0027168573231566243,0.6455169125417197,0,0,-0.22369407801075636,-0.37347569010988946
22,0,1,0.04122237590540999,0.5054062742205545,0,0,-0.6827391346023238,3.747357046044624
23,1,0,0.03784908236635642,0.5655960422099003,0,0,4.579115203177355,-6.868640268643969
24,0,0,-0.08713519409374021,0.5580380539231236,0,0,-1.4540953654077642,2.232816057494452
25,1,0,0.013045924731395458,0.5661659408572308,0,0,1.796638623354624,-3.2501824100099515
26,0,0,0.172414854020573,0.619433588332273,0,0,0.21992232826188646,1.5398884217107593
27,0,1,0.14131939559348147,0.6692350349606764,0,0,-1.517467401028883,3.5889075882906223
28,0,0,-0.16521408633804455,0.6142954790654354,0,0,-0.17180604759221296,1.503741844021575
29,0,0,-0.11073693167779225,0.49351620900588156,0,1,0.25328257121994063,0.3156258477713176
30,0,0,-0.011088059477123758,0.5222105028603037,0,0,1.092080333433406,1.4860138931868172
31,0,0,-0.04157107465718777,0.6057318364122397,0,0,-1.8223824204336871,1.1550538321090997
32,1,0,-0.0626601347020295,0.6578572074183168,0,0,1.4127361718995008,-6.4357906485931355
33,0,1,-0.037146377653029916,0.5739570909238922,0,0,-3.2394491358634587,4.768954741021362
34,0,0,-0.0022914699413883466,0.46247218505716936,0,1,1.0662593822768531,1.1566329247356788
35,1,0,-0.03344635964719252,0.4197041407051134,0,1,1.6923409857364915,-1.0535384715777572
36,0,1,-0.035219177135341194,0.5751670426074735,0,0,-0.8984804115115164,2.7548648344288154
37,0,1,0.1063155610532578,0.6901874513943674,0,0,-3.9186470744482884,4.598296374785059
38,1,0,-0.1252352150609982,0.7151032111890321,0,0,1.4310776395284444,0.6980392473476671
39,0,0,0.15689673470247859,0.5601340459699093,0,0,0.9820364886176199,1.536541913375691
40,1,0,0.1747503857711863,0.6387430323068778,0,0,3.01224281557751,-4.483665307442621
41,0,0,0.11452811713558977,0.6495772542106037,0,0,-1.1357828268119152,2.7349978243769266
42,0,0,0.03472606539164523,0.5427266716594435,0,0,0.4106826968780801,-0.24169972059744615
43,0,0,-0.06087989558620338,0.7256199129778558,0,0,0.955831413017588,0.8113305925353544
44,1,0,-0.015536809367347023,0.5787193783472369,0,0,2.452087084371591,-8.546480043824236
45,1,0,-0.0008268088001860397,0.6691360885480411,0,0,3.2796846849260386,-6.213197898690105
46,0,1,0.016795217186691407,0.5425113768752494,0,0,-3.322419435610585,4.993947034358756
47,0,0,-0.06375662451470354,0.6251509532786431,0,0,-1.581817469623657,-2.4647194186832118
48,1,0,0.15228087684794875,0.7386818439382861,0,0,2.636880967197885,-5.435713042265139
49,0,0,0.04017150887820892,0.7327127502649537,0,0,-0.48768224553783607,2.111241599589983
50,1,0,-0.05145203830294233,0.6027285467056946,0,0,1.609604844270196,-1.5987654363812323
51,0,0,0.1306579788497455,0.7397422453583108,0,0,0.3064491245045813,1.5550155738670899
52,0,0,-0.06359846656310193,0.6748498143406019,0,0,-0.33171178811744295,-0.9350238006247028
53,0,0,0.011569171478011533,0.6733953998283349,0,0,0.3459935206869875,1.2484094691396115
54,0,1,0.009804158899189465,0.6445535910243434,0,0,-2.78035829366962,4.390240034639596
55,0,0,-0.06243211668936313,0.7140099607056747,0,0,-0.11000071897727123,2.429556341752554
56,0,0,0.03948840655800945,0.7065431634869537,0,0,-4.048043746486977,2.5792345255313625
57,1,0,0.01679435559789976,0.6063153042403024,0,0,1.7364539258115563,-2.541980967513764
