time,total_excitation,total_excess,percent_above_vacuum,frac_sites_excess,excess_site0,excess_site1,excess_site2,excess_site3,excess_site4,excess_site5,excess_site6,excess_site7,excess_site8,excess_site9,excess_site10,excess_site11
3.3,6.00999957,0.0298689342,0.496987293,0.416666667,0,0.00280950948,0,0.0134978729,0.00819784577,0,0,0,0.00123710001,0,0,0.00412660602
3.4,6.00999957,0.0332296658,0.552906293,0.5,0.00385930657,0.00148995299,0,0.0170062486,0.00539255616,0,0,0,0,0.00150987687,0.00397172459,0
3.5,6.00999957,0.0473271698,0.787473763,0.583333333,0.00758127332,0.000206841436,0,0.0155025993,0,0.00202589407,0.00621146564,0,0,0.00707365756,0.0087254384,0
3.6,6.00999957,0.0487703412,0.8114866,0.5,0.00733665216,0.000424662081,0,0.00838671467,0,0,0.0147754412,0,0,0.00837043652,0.00947643451,0
3.7,6.00999957,0.0332589609,0.553393732,0.5,0.00255186479,0.00221685367,0,0,0,0,0.0146039006,0.00200001149,0,0.00491148898,0.00697484141,0
3.8,6.00999957,0.0308226802,0.512856613,0.583333333,0,0.00440029075,0.00605587271,0,0,0,0.00645449653,0.00902659761,0,0.000230698995,0.00255713391,0.0020975897
3.9,6.00999957,0.040484383,0.673617069,0.416666667,0,0.00489506235,0.0137090272,0,0,0,0,0.0107294928,0.00607832272,0,0,0.00507247788
4,6.00999957,0.0352405555,0.586365359,0.5,0,0.00201355561,0.011414565,0,0,0,0,0.00623587946,0.0102515428,0.00140164029,0,0.00392337239
4.1,6.00999957,0.0226043252,0.376111927,0.416666667,0,0,0.000401016541,0.00839320033,0,0,0,0,0.00697865872,0.00636424836,0.000467201232,0
4.2,6.00999957,0.0413653221,0.68827496,0.5,0,0,0,0.0191276066,0.0054408836,0,0.00364429826,0,0.000620242554,0.0101025071,0.00242978406,0
4.3,6.00999957,0.0530191547,0.882182337,0.5,0,0,0,0.0205633228,0.00837472965,0.00160678405,0.00976711089,0,0,0.0117882065,0.000919000732,0
4.4,6.00999957,0.0520982599,0.866859627,0.5,0,0,0,0.0156518844,0.00681654735,0.00563742645,0.0117434376,0.00220869619,0,0.0100402679,0,0
4.5,6.00999957,0.0428275665,0.712605151,0.5,0,0,0,0.00994336888,0.00623131161,0.00933231954,0.0103768066,0.00145589714,0,0.00548786271,0,0
