t_step,t_physical,avg_degree,degree_50,degree_90,graph_radius_50,graph_radius_90,graph_diameter_est,reachable_fraction,eff_dist_mean,eff_dist_90,a_graph_90,a_eff_90
390,39.0,11.796875,11.5,20.299999999999997,3.0,4.0,5.0,0.96875,44.13254766010555,87.94140036571018,4.0,0.25761375782180235
400,40.0,11.171875,11.0,20.0,3.0,4.0,5.0,0.96875,44.245989917279,88.78711928414458,4.0,0.2600911896995397
410,41.0,10.78125,10.0,20.0,3.0,4.0,5.0,0.96875,41.11765249645093,85.20694069772519,4.0,0.24960348703065807
420,42.0,10.125,9.5,19.0,3.0,4.0,5.0,0.96875,39.82672624307736,84.39754369836115,4.0,0.24723245584729336
430,43.0,9.515625,9.0,18.0,3.0,4.0,5.0,0.96875,40.568651945155786,84.47739297379884,4.0,0.2474663646981794
440,44.0,9.015625,8.0,18.0,3.0,4.0,5.0,0.953125,38.23196992688601,82.73122225523757,4.0,0.2423511675471642
450,45.0,8.328125,7.0,16.0,3.0,4.0,5.0,0.953125,35.75115753955751,80.09180110267333,4.0,0.234619300659
460,46.0,7.90625,7.0,16.0,3.0,4.0,5.0,0.953125,35.35900730071334,81.29577799539952,4.0,0.23814620619354898
470,47.0,7.640625,7.0,15.0,3.0,4.0,5.0,0.9375,34.74555452656511,79.92483512523233,4.0,0.23413019390497863
480,48.0,7.203125,6.0,14.0,3.0,4.0,5.0,0.9375,33.68468314247389,76.7096642622218,4.0,0.22471173747132073
490,49.0,6.703125,5.0,14.0,3.0,4.1000000000000085,6.0,0.9375,33.05733239390452,75.70147253972014,4.1000000000000085,0.22175836105067687
500,50.0,6.4375,5.0,13.299999999999997,3.0,4.1000000000000085,6.0,0.9375,32.09161212681279,75.04875527196114,4.1000000000000085,0.2198463043010309
510,51.0,5.96875,5.0,12.299999999999997,3.0,5.0,6.0,0.9375,31.316374508058452,74.29603706200547,5.0,0.21764130681587382
520,52.0,5.703125,5.0,12.0,3.0,5.0,6.0,0.9375,31.862642880651016,75.76896950183223,5.0,0.2219560852849845
530,53.0,5.484375,4.0,11.299999999999997,3.0,4.5,6.0,0.90625,30.624241313598645,75.27675369173014,4.5,0.2205141982559812
540,54.0,5.171875,4.0,10.0,3.0,5.0,6.0,0.90625,30.55665673778102,75.288705156359,5.0,0.22054920863450272
550,55.0,4.921875,4.0,10.0,3.0,5.0,8.0,0.90625,29.9897238622483,75.288705156359,5.0,0.22054920863450272
560,56.0,4.765625,4.0,10.0,4.0,5.0,8.0,0.90625,27.903078390996626,74.19843364115661,5.0,0.21735538933086024
570,57.0,4.5625,3.0,10.0,4.0,5.0,8.0,0.90625,27.71817349857241,74.51530736151473,5.0,0.21828363279203963
580,58.0,4.359375,3.0,9.299999999999997,4.0,6.0,9.0,0.890625,26.48904914060699,73.53943824193982,6.0,0.21542494155002515
590,59.0,4.25,3.0,9.299999999999997,4.0,6.0,9.0,0.875,26.048494854765007,73.58091108590052,6.0,0.215546431259489
600,60.0,4.15625,3.0,9.299999999999997,5.0,7.0,11.0,0.875,26.046085475939467,73.55056261655052,7.0,0.21545752906779223
610,61.0,4.09375,3.0,9.299999999999997,5.0,7.0,9.0,0.8359375,25.673418036395145,73.2774263924004,7.0,0.2146574093425211
620,62.0,3.8125,3.0,9.0,5.0,7.0,9.0,0.8359375,24.82009161924,70.07174368109135,7.0,0.205266747308366
630,63.0,3.734375,2.5,9.0,5.0,7.0,9.0,0.8359375,24.608385941447327,70.0589741364699,7.0,0.20522934046287655
640,64.0,3.609375,2.0,9.0,6.0,7.0,9.0,0.8359375,24.42111400098819,70.07174368109135,7.0,0.205266747308366
650,65.0,3.421875,2.0,8.0,6.0,7.0,9.0,0.8203125,25.29445436415478,73.55372856702728,7.0,0.21546680333902288
660,66.0,3.296875,2.0,8.0,6.0,7.0,9.0,0.8046875,23.140401022938704,70.07174368109135,7.0,0.205266747308366
670,67.0,3.171875,2.0,7.0,6.0,7.0,9.0,0.7890625,22.168921337312735,68.04089700080519,7.0,0.19931762615845483
680,68.0,3.078125,2.0,7.0,6.0,8.0,10.0,0.7890625,21.924745697964646,69.46248967700548,8.0,0.20348201096339258
690,69.0,2.9375,2.0,6.299999999999997,6.0,8.0,10.0,0.7734375,21.791134838154658,71.14597560889187,8.0,0.20841358056940143
700,70.0,2.890625,2.0,6.0,6.0,8.0,10.0,0.7734375,21.444929635005664,71.76945978017038,8.0,0.2102400024780534
710,71.0,2.859375,2.0,6.0,6.0,8.0,10.0,0.7734375,21.00497475912992,68.04089700080519,8.0,0.19931762615845483
720,72.0,2.671875,2.0,6.0,0.5,0.9,1.0,0.015625,19.580776365241064,68.04089700080519,0.9,0.19931762615845483
730,73.0,2.625,2.0,6.0,0.5,0.9,1.0,0.015625,20.623995496978864,72.9636910200025,0.9,0.21373835929431922
740,74.0,2.5625,2.0,5.0,0.5,0.9,1.0,0.015625,19.801272902176034,71.76945978017038,0.9,0.2102400024780534
750,75.0,2.53125,2.0,5.0,0.5,0.9,1.0,0.015625,19.529522205150247,70.07174368109135,0.9,0.205266747308366
760,76.0,2.5,2.0,5.0,0.5,0.9,1.0,0.015625,19.956985652749086,71.90723147552121,0.9,0.21064358809317002
770,77.0,2.375,2.0,5.0,0.5,0.9,1.0,0.015625,19.439652908647197,69.37530461571494,0.9,0.2032266128099452
780,78.0,2.34375,2.0,5.0,0.5,0.9,1.0,0.015625,19.786073542612147,70.21640005512646,0.9,0.20569050076183715
790,79.0,2.296875,2.0,5.0,0.5,0.9,1.0,0.015625,18.50542233783297,66.86312421403852,0.9,0.19586748240139087
800,80.0,2.234375,2.0,4.0,0.5,0.9,1.0,0.015625,18.34773046285092,67.59340003934754,0.9,0.19800673761931928
810,81.0,2.171875,2.0,4.0,0.5,0.9,1.0,0.015625,19.15595939570095,69.58423633532787,0.9,0.20383865315947147
820,82.0,2.03125,1.0,4.0,0.5,0.9,1.0,0.015625,18.04023761926995,69.85356638012688,0.9,0.2046276231400091
830,83.0,1.953125,1.0,4.0,0.5,0.9,1.0,0.015625,16.15329538180797,64.68415011452137,0.9,0.18948443978848448
840,84.0,1.890625,1.0,4.0,0.5,0.9,1.0,0.015625,14.88047023242535,63.95416327707577,0.9,0.18734603112575252
850,85.0,1.890625,1.0,4.0,0.5,0.9,1.0,0.015625,14.746821681618314,63.95416327707577,0.9,0.18734603112575252
860,86.0,1.875,1.0,3.299999999999997,0.5,0.9,1.0,0.015625,15.098835241542396,64.02716196082032,0.9,0.18755987199202567
870,87.0,1.828125,1.0,3.0,0.5,0.9,1.0,0.015625,14.599927654746757,60.848527275942764,0.9,0.17824844389890068
880,88.0,1.796875,1.0,3.0,0.5,0.9,1.0,0.015625,14.054465177425556,53.60204327329849,0.9,0.15702074036957797
890,89.0,1.75,1.0,3.0,0.5,0.9,1.0,0.015625,12.680218589325957,49.71472174142189,0.9,0.14563329937450814
900,90.0,1.71875,1.0,3.0,0.5,0.9,1.0,0.015625,11.578696894548868,37.900231851063246,0.9,0.1110241718788568
910,91.0,1.703125,1.0,3.0,0.5,0.9,1.0,0.015625,11.895389574438004,37.51291555252099,0.9,0.1098895753552835
920,92.0,1.671875,1.0,3.0,0.5,0.9,1.0,0.015625,11.084883903736696,29.921014444992245,0.9,0.08765001395202236
930,93.0,1.640625,1.0,3.0,0.5,0.9,1.0,0.015625,10.833653861747457,30.014800480759124,0.9,0.08792474886646133
940,94.0,1.609375,1.0,3.0,0.5,0.9,1.0,0.015625,9.387970251687724,20.724679162850432,0.9,0.06071045556007379
950,95.0,1.59375,1.0,3.0,0.5,0.9,1.0,0.015625,9.753370746393244,20.724679162850432,0.9,0.06071045556007379
960,96.0,1.578125,1.0,3.0,0.5,0.9,1.0,0.015625,9.738076021300387,30.014800480759124,0.9,0.08792474886646133
970,97.0,1.546875,1.0,3.0,0.5,0.9,1.0,0.015625,9.869632788346976,37.336331498012555,0.9,0.10937229360102269
980,98.0,1.5,1.0,2.299999999999997,0.5,0.9,1.0,0.015625,8.383268134034184,26.85620533203955,0.9,0.07867202418484893
990,99.0,1.5,1.0,2.299999999999997,0.5,0.9,1.0,0.015625,7.750346012653367,19.512188528489165,0.9,0.05715861004314319
1000,100.0,1.46875,1.0,2.0,0.5,0.9,1.0,0.015625,8.784357521141212,18.105918781091003,0.9,0.05303911191561946
1010,101.0,1.453125,1.0,2.0,0.5,0.9,1.0,0.015625,9.267281940134684,26.521512822489843,0.9,0.07769158272336034
1020,102.0,1.421875,1.0,2.0,0.5,0.9,1.0,0.015625,6.335729901000331,16.587115762520025,0.9,0.04858996110180405
1030,103.0,1.40625,1.0,2.0,0.5,0.9,1.0,0.015625,6.3023821720342985,16.28545679213032,0.9,0.0477062874211533
1040,104.0,1.40625,1.0,2.0,0.5,0.9,1.0,0.015625,6.334402556883247,16.28545679213032,0.9,0.0477062874211533
1050,105.0,1.390625,1.0,2.0,0.5,0.9,1.0,0.015625,6.838207759622002,16.352492118883593,0.9,0.04790265935018682
1060,106.0,1.375,1.0,2.0,0.5,0.9,1.0,0.015625,7.393834058368435,17.407544291584596,0.9,0.0509933078249357
1070,107.0,1.359375,1.0,2.0,0.5,0.9,1.0,0.015625,7.252363193425827,15.01646031148817,0.9,0.04398891482211139
1080,108.0,1.34375,1.0,2.0,0.5,0.9,1.0,0.015625,7.002169418252582,11.147942136213869,0.9,0.03265655599919072
1090,109.0,1.34375,1.0,2.0,0.5,0.9,1.0,0.015625,7.296854364835744,16.063563945509408,0.9,0.04705627900857316
1100,110.0,1.28125,1.0,2.0,0.5,0.9,1.0,0.015625,4.807428776867234,8.041952511239387,0.9,0.023557932873816915
1110,111.0,1.25,1.0,2.0,0.5,0.9,1.0,0.015625,3.0977561749610247,5.271242213413597,0.9,0.015441470221525798
1120,112.0,1.25,1.0,2.0,0.5,0.9,1.0,0.015625,3.2849559478652766,5.271242213413597,0.9,0.015441470221525798
1130,113.0,1.234375,1.0,2.0,0.5,0.9,1.0,0.015625,3.1414506476976922,4.3143895233482645,0.9,0.012638485323121286
1140,114.0,1.234375,1.0,2.0,0.5,0.9,1.0,0.015625,4.6493183501141715,4.3143895233482645,0.9,0.012638485323121286
1150,115.0,1.234375,1.0,2.0,0.5,0.9,1.0,0.015625,4.676450418986168,4.329112306279917,0.9,0.012681613945372526
1160,116.0,1.21875,1.0,2.0,0.5,0.9,1.0,0.015625,3.769743212110196,4.046764658167889,0.9,0.011854510461236416
1170,117.0,1.203125,1.0,2.0,0.5,0.9,1.0,0.015625,3.367107818937035,3.8487084659307262,0.9,0.011274328661425243
1180,118.0,1.203125,1.0,2.0,0.5,0.9,1.0,0.015625,3.3625021606978374,3.8487084659307262,0.9,0.011274328661425243
1190,119.0,1.1875,1.0,2.0,0.5,0.9,1.0,0.015625,3.0415245601927445,2.5327466701714703,0.9,0.007419376819111224
1200,120.0,1.1875,1.0,2.0,0.5,0.9,1.0,0.015625,3.0768057345576065,3.886486011076769,0.9,0.011384993437354255
1210,121.0,1.171875,1.0,2.0,0.5,0.9,1.0,0.015625,2.59764135808685,2.538624648960088,0.9,0.007436595651172524
1220,122.0,1.171875,1.0,2.0,0.5,0.9,1.0,0.015625,2.667006208258884,2.538624648960088,0.9,0.007436595651172524
1230,123.0,1.171875,1.0,2.0,0.5,0.9,1.0,0.015625,3.2658449653773256,2.538624648960088,0.9,0.007436595651172524
1240,124.0,1.171875,1.0,2.0,0.5,0.9,1.0,0.015625,3.580600870203904,2.538624648960088,0.9,0.007436595651172524
1250,125.0,1.15625,1.0,2.0,0.5,0.9,1.0,0.015625,3.202908639525158,2.0000000000000004,0.9,0.005858759509184489
1260,126.0,1.15625,1.0,2.0,0.5,0.9,1.0,0.015625,3.2162305951813392,2.0000000000000004,0.9,0.005858759509184489
1270,127.0,1.15625,1.0,2.0,0.5,0.9,1.0,0.015625,3.246390720720482,3.047655242175949,0.9,0.008927739565407147
1280,128.0,1.140625,1.0,2.0,0.5,0.9,1.0,0.015625,2.440120108639795,2.0,0.9,0.005858759509184488
1290,129.0,1.140625,1.0,2.0,0.5,0.9,1.0,0.015625,2.490203086418633,2.0,0.9,0.005858759509184488
1300,130.0,1.140625,1.0,2.0,0.5,0.9,1.0,0.015625,2.517600346692605,2.0,0.9,0.005858759509184488
1310,131.0,1.125,1.0,2.0,0.5,0.9,1.0,0.015625,1.794321335668519,2.0,0.9,0.005858759509184488
1320,132.0,1.125,1.0,2.0,0.5,0.9,1.0,0.015625,1.792993653427646,2.0,0.9,0.005858759509184488
1330,133.0,1.125,1.0,2.0,0.5,0.9,1.0,0.015625,1.792993653427646,2.0,0.9,0.005858759509184488
1340,134.0,1.125,1.0,2.0,0.5,0.9,1.0,0.015625,2.0416227560713605,2.0,0.9,0.005858759509184488
1350,135.0,1.109375,1.0,2.0,0.5,0.9,1.0,0.015625,1.6572258528788892,2.0,0.9,0.005858759509184488
1360,136.0,1.109375,1.0,2.0,0.5,0.9,1.0,0.015625,1.6721536642519983,2.0,0.9,0.005858759509184488
1370,137.0,1.109375,1.0,2.0,0.5,0.9,1.0,0.015625,1.7279829761751668,2.0512267395961636,0.9,0.006008822083051258
1380,138.0,1.109375,1.0,2.0,0.5,0.9,1.0,0.015625,1.7875175357088315,2.3170231929884126,0.9,0.006787440832460933
1390,139.0,1.109375,1.0,2.0,0.5,0.9,1.0,0.015625,1.9332674532367506,2.0000000000000004,0.9,0.005858759509184489
1400,140.0,1.109375,1.0,2.0,0.5,0.9,1.0,0.015625,2.0014718092283,2.0000000000000004,0.9,0.005858759509184489
1410,141.0,1.109375,1.0,2.0,0.5,0.9,1.0,0.015625,2.029640823312807,2.0000000000000004,0.9,0.005858759509184489
1420,142.0,1.09375,1.0,1.0,0.5,0.9,1.0,0.015625,1.7099770925909503,2.0000000000000004,0.9,0.005858759509184489
1430,143.0,1.09375,1.0,1.0,0.5,0.9,1.0,0.015625,1.7812329431239022,2.0000000000000004,0.9,0.005858759509184489
1440,144.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.37569192058679,2.0,0.9,0.005858759509184488
1450,145.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.404308293346606,2.0000000000000004,0.9,0.005858759509184489
1460,146.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.618725522008083,1.3535533905932737,0.9,0.0039650718991636235
1470,147.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.2202915790275362,1.2532228898473818,0.9,0.0036711657615105062
1480,148.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.249277086273913,1.5474873734152899,0.9,0.004533178182169878
1490,149.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.2751476956722443,1.5474873734152899,0.9,0.004533178182169878
1500,150.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.2751476956722443,1.5474873734152899,0.9,0.004533178182169878
1510,151.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.4021032839571448,1.2532228898473818,0.9,0.0036711657615105062
1520,152.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,1.3876105303339565,1.2102241038134287,0.9,0.0035452059882306
1530,153.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2256544588572016,1.4471568726693977,0.9,0.00423927204451676
1540,154.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2546399661035785,2.0,0.9,0.005858759509184488
1550,155.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2546399661035785,2.0,0.9,0.005858759509184488
1560,156.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2546399661035785,2.0,0.9,0.005858759509184488
1570,157.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2546399661035785,2.0,0.9,0.005858759509184488
1580,158.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2142417571030246,2.0,0.9,0.005858759509184488
1590,159.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.241276843714421,2.0,0.9,0.005858759509184488
1600,160.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2619152405764025,2.0,0.9,0.005858759509184488
1610,161.0,1.078125,1.0,1.0,0.5,0.9,1.0,0.015625,2.2909007478227794,2.0,0.9,0.005858759509184488
1620,162.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.308899763208999,2.0,0.9,0.005858759509184488
1630,163.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.308899763208999,2.0,0.9,0.005858759509184488
1640,164.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.2941938808560578,1.910362756318057,0.9,0.0055961779822851524
1650,165.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.3072718849214169,1.910362756318057,0.9,0.0055961779822851524
1660,166.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.3072718849214169,1.910362756318057,0.9,0.0055961779822851524
1670,167.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.3072718849214169,1.910362756318057,0.9,0.0055961779822851524
1680,168.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.300764192030039,1.6037742249764153,0.9,0.0046980637455827775
1690,169.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.300764192030039,1.6037742249764153,0.9,0.0046980637455827775
1700,170.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.300764192030039,1.6037742249764153,0.9,0.0046980637455827775
1710,171.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.307016207331275,1.2970691346789052,0.9,0.0037996080634348653
1720,172.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.307016207331275,1.2970691346789052,0.9,0.0037996080634348653
1730,173.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6743041709548483,1.910362756318057,0.9,0.0055961779822851524
1740,174.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6180037720615221,1.2970691346789052,0.9,0.0037996080634348653
1750,175.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6595982886019072,1.5871394516146937,0.9,0.00464933417727472
1760,176.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6595982886019072,1.5871394516146937,0.9,0.00464933417727472
1770,177.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6595982886019072,1.5871394516146937,0.9,0.00464933417727472
1780,178.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6595982886019072,1.5871394516146937,0.9,0.00464933417727472
1790,179.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6858493481384489,1.5306551957003254,0.9,0.004483870341545962
1800,180.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.7088982674832558,1.7054044872443437,0.9,0.0049957773783243465
1810,181.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.7088982674832558,1.7054044872443437,0.9,0.0049957773783243465
1820,182.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6941923851303147,1.220367038505259,0.9,0.003574918495768999
1830,183.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.6242390254242722,1.0149625512609153,0.9,0.0029732107493330175
1840,184.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.656829397124009,1.1466152870138513,0.9,0.003358871608084351
1850,185.0,1.0625,1.0,1.0,0.5,0.9,1.0,0.015625,1.656829397124009,1.1466152870138513,0.9,0.003358871608084351
1860,186.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1675058144756854,1.00362369394614,0.9,0.002939994930274905
1870,187.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.152580441341357,1.0000000000000002,0.9,0.0029293797545922443
1880,188.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1895247993212785,1.0000000000000002,0.9,0.0029293797545922443
1890,189.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1725828481953535,1.0000000000000002,0.9,0.0029293797545922443
1900,190.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1725828481953535,1.0000000000000002,0.9,0.0029293797545922443
1910,191.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.232284340732667,1.00362369394614,0.9,0.002939994930274905
1920,192.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.232284340732667,1.00362369394614,0.9,0.002939994930274905
1930,193.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.232284340732667,1.00362369394614,0.9,0.002939994930274905
1940,194.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.2621350870013235,2.0,0.9,0.005858759509184488
1950,195.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.2919858332699803,2.0,0.9,0.005858759509184488
1960,196.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.2770604601356519,2.0,0.9,0.005858759509184488
1970,197.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.276983195872408,2.0,0.9,0.005858759509184488
1980,198.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.276983195872408,2.0,0.9,0.005858759509184488
1990,199.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.2149453271128507,2.0,0.9,0.005858759509184488
2000,200.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.229870700247179,2.0,0.9,0.005858759509184488
2010,201.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1194029850746268,2.0,0.9,0.005858759509184488
2020,202.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1194029850746268,2.0,0.9,0.005858759509184488
2030,203.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1194029850746268,2.0,0.9,0.005858759509184488
2040,204.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1044776119402986,1.7000000000000028,0.9,0.004979945582806823
2050,205.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1044776119402986,1.7000000000000028,0.9,0.004979945582806823
2060,206.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1343283582089552,2.0,0.9,0.005858759509184488
2070,207.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1343283582089552,2.0,0.9,0.005858759509184488
2080,208.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.1343283582089552,2.0,0.9,0.005858759509184488
2090,209.0,1.046875,1.0,1.0,0.5,0.9,1.0,0.015625,1.164179104477612,2.0,0.9,0.005858759509184488
