run_id,pressure_p,pressure_q,defrag_cutoff,seed,step,n_edges,mean_degree,min_degree,max_degree,sample_diameter,mean_coupling,std_coupling,max_coupling
0,0.3,1.5,0.0,42,0,4084,63.8125,51,74,2,0.015670910871694418,0.008624486022302454,0.07474434205653283
0,0.3,1.5,0.0,42,20,4084,63.8125,51,74,2,0.01566057529796029,0.008821695256790362,0.10177094279021477
0,0.3,1.5,0.0,42,40,4084,63.8125,51,74,2,0.015722897962329865,0.008618865016065642,0.10275735753941463
0,0.3,1.5,0.0,42,60,4084,63.8125,51,74,2,0.01570807284792338,0.008631075016749926,0.13788182746418964
0,0.3,1.5,0.0,42,80,4084,63.8125,51,74,2,0.01557420286523491,0.008292362990361752,0.13788182746418964
0,0.3,1.5,0.0,42,100,4084,63.8125,51,74,2,0.015607847280843338,0.008203640920594816,0.13788182746418964
0,0.3,1.5,0.0,42,120,4084,63.8125,51,74,2,0.015534538907421742,0.00768267868688279,0.13788182746418964
0,0.3,1.5,0.0,42,140,4084,63.8125,51,74,2,0.01566973837486208,0.007409021442261431,0.13788182746418964
0,0.3,1.5,0.0,42,160,4084,63.8125,51,74,2,0.015552960324815651,0.005951189180221433,0.08136844514842835
0,0.3,1.5,0.0,42,180,4084,63.8125,51,74,2,0.015535064440433132,0.0052860614316897585,0.08021063748325248
0,0.3,1.5,0.0,42,200,4084,63.8125,51,74,2,0.015603864823341662,0.004989269493210099,0.06583508231973395
0,0.3,1.5,0.0,42,220,4084,63.8125,51,74,2,0.015666507030443033,0.004594145287456356,0.06188415161760873
0,0.3,1.5,0.0,42,240,4084,63.8125,51,74,2,0.015744630813913085,0.004297736140942633,0.06114787050773213
0,0.3,1.5,0.0,42,260,4084,63.8125,51,74,2,0.015835351103217606,0.004090719372412047,0.06114787050773213
0,0.3,1.5,0.0,42,280,4084,63.8125,51,74,2,0.015914420961737168,0.0038128572459328073,0.05318983263502871
0,0.3,1.5,0.0,42,300,4084,63.8125,51,74,2,0.01575439724771297,0.003489476211272235,0.05697677556597402
0,0.3,1.5,0.0,42,320,4084,63.8125,51,74,2,0.015783715909577313,0.0033611645354093716,0.05697677556597402
0,0.3,1.5,0.0,42,340,4084,63.8125,51,74,2,0.01579242008269791,0.0032386417134490637,0.05697677556597402
0,0.3,1.5,0.0,42,360,4084,63.8125,51,74,2,0.015813914901736056,0.0030868914568971525,0.05697677556597402
0,0.3,1.5,0.0,42,380,4084,63.8125,51,74,2,0.015735439709165,0.002865571106363324,0.04616179083814794
0,0.3,1.5,0.0,42,400,4084,63.8125,51,74,2,0.015765251192909252,0.002723204097925581,0.04616179083814794
0,0.3,1.5,0.0,42,420,4084,63.8125,51,74,2,0.01579586565266071,0.002650942123756736,0.04616179083814794
0,0.3,1.5,0.0,42,440,4084,63.8125,51,74,2,0.015818174824944582,0.0025618525639392042,0.04616179083814794
0,0.3,1.5,0.0,42,460,4084,63.8125,51,74,2,0.015719497759528394,0.002364745052993468,0.04616179083814794
0,0.3,1.5,0.0,42,480,4084,63.8125,51,74,2,0.015823608673382082,0.002341391298517538,0.04428974886089938
0,0.3,1.5,0.0,42,500,4084,63.8125,51,74,2,0.0156899245650994,0.0021930300968492963,0.032801380023207746
0,0.3,1.5,0.0,42,520,4084,63.8125,51,74,2,0.015643288072899608,0.002125755180711613,0.032801380023207746
0,0.3,1.5,0.0,42,540,4084,63.8125,51,74,2,0.015705302614580828,0.002102789785259202,0.032801380023207746
0,0.3,1.5,0.0,42,560,4084,63.8125,51,74,2,0.015753891259783888,0.002049980554184127,0.032801380023207746
0,0.3,1.5,0.0,42,580,4084,63.8125,51,74,2,0.01562944022420499,0.0019975470347075295,0.032801380023207746
0,0.3,1.5,0.0,42,600,4084,63.8125,51,74,2,0.015527063745027218,0.0019372042299661066,0.032801380023207746
0,0.3,1.5,0.0,42,620,4084,63.8125,51,74,2,0.015618841171143764,0.0019426350196657149,0.032801380023207746
0,0.3,1.5,0.0,42,640,4084,63.8125,51,74,2,0.015625167330957066,0.0019191285668810698,0.02937869119520379
0,0.3,1.5,0.0,42,660,4084,63.8125,51,74,2,0.015642370664202494,0.001901072252375074,0.02820281597318173
0,0.3,1.5,0.0,42,680,4084,63.8125,51,74,2,0.015617644218993568,0.0018788592387480724,0.028393152196269422
0,0.3,1.5,0.0,42,700,4084,63.8125,51,74,2,0.01561058944809991,0.0018031856636682771,0.028393152196269422
0,0.3,1.5,0.0,42,720,4084,63.8125,51,74,2,0.01570011311211189,0.0018248706552828832,0.030528837171068596
0,0.3,1.5,0.0,42,740,4084,63.8125,51,74,2,0.015702302713540773,0.0017721303655968072,0.030176265201633325
0,0.3,1.5,0.0,42,760,4084,63.8125,51,74,2,0.015777137458317957,0.0017553307543350263,0.030176265201633325
0,0.3,1.5,0.0,42,780,4084,63.8125,51,74,2,0.015903181617441132,0.0017891757682259003,0.030176265201633325
0,0.3,1.5,0.0,42,800,4084,63.8125,51,74,2,0.015786970369026494,0.0017426301077433477,0.030176265201633325
0,0.3,1.5,0.0,42,820,4084,63.8125,51,74,2,0.0157671842402611,0.001758664789228544,0.030176265201633325
0,0.3,1.5,0.0,42,840,4084,63.8125,51,74,2,0.015741337001160177,0.0017551215140802136,0.030176265201633325
0,0.3,1.5,0.0,42,860,4084,63.8125,51,74,2,0.015746273321442204,0.0017019352096010025,0.030176265201633325
0,0.3,1.5,0.0,42,880,4084,63.8125,51,74,2,0.015748937440652665,0.0016949354018820828,0.03061751808936807
