t_step,step,center_radius_50,center_radius_90,pair_radius_50,pair_radius_90,a_center_90,a_pair_90
57.0,570,6.404915220054076,9.64957656639756,8.025700607909528,13.40163586555645,8.062643816692852,11.065409072972566
58.0,580,6.463823990463578,9.649576567184093,8.197730242024484,13.7486194993684,8.062643817350034,11.3519051312354
59.0,590,6.234156888760323,9.6495765671841,8.202727732875054,13.911522296180063,8.06264381735004,11.486410060628774
60.0,600,6.641408482704582,11.166154967758459,8.416535323094152,14.450652225631675,9.32981148836482,11.931556703375378
61.0,610,6.83450046716529,11.599302382896798,8.602125487318345,15.85310251883371,9.691725123056607,13.089526249367552
62.0,620,6.83450046716529,12.484228647887736,8.651876714658924,16.285102243112867,10.431119772092684,13.4462180530037
63.0,630,6.62523203471318,12.484228647887736,8.87646841477326,16.568611373084956,10.431119772092684,13.680304736938046
64.0,640,6.577916998799655,12.602632127529448,9.068064905512388,18.29456908375414,10.530051064718776,15.105386592824807
65.0,650,6.577916998799655,12.6317721553102,9.454383045510534,19.686972933107292,10.554398834093744,16.25506103126207
66.0,660,6.882155599735181,13.611711681598603,10.039034087864799,20.154890104457728,11.373181223973441,16.6414090088674
67.0,670,7.002008629001333,13.578545413023333,10.438914984932453,22.41935504496981,11.345469354088667,18.511123359379656
68.0,680,7.028054463267029,12.690584886958714,10.52268922919266,24.38174525122747,10.603539447042497,20.13142185210657
69.0,690,7.064357283197141,12.552683789811796,10.934664642563341,24.72347986669642,10.488317041108282,20.413583921908625
70.0,700,7.084982059653038,15.834217512598908,11.296770859177922,25.832027755329314,13.230182178634827,21.328885306587285
71.0,710,7.317367107730126,16.079783742780812,11.475462480644088,30.05432283185594,13.43536351832794,24.815133009275872
72.0,720,7.243822344924595,16.53688811064455,11.68963518057341,30.255328444212388,13.817294236197329,24.981098518934576
73.0,730,7.189828590629142,16.306536365911146,11.67832501021751,30.30991400919479,13.62482526540263,25.026168509797554
74.0,740,7.317372358763894,16.306536365911146,12.05795951793321,32.90389386112698,13.62482526540263,27.16795541377166
75.0,750,7.226115487379401,17.578821206575938,12.524201252100447,32.90920357591351,14.687874968472409,27.172339517829045
76.0,760,7.538925508240214,17.578821206575938,13.257665570553455,33.2845113786968,14.687874968472409,27.482222162585053
77.0,770,7.782535262805262,18.16319470568119,13.672045769815348,34.538776394910684,15.176144619143628,28.517838682057537
78.0,780,7.782535262805262,19.32066448966781,14.099554800024979,34.538776394910684,16.14326131412546,28.517838682057537
79.0,790,8.314563469554393,20.111862035479756,14.425562958538844,34.538776394910684,16.804341513513396,28.517838682057537
80.0,800,8.545853301593123,20.009408853804977,14.987436987062612,34.538776394910684,16.718737393369185,28.517838682057537
81.0,810,8.55869528045977,20.009408853804977,15.589659388217529,34.538776394910684,16.718737393369185,28.517838682057537
82.0,820,8.688196788315857,21.805633139684144,16.557305002172647,34.538776394910684,18.219561448423427,28.517838682057537
83.0,830,9.113377577150272,22.71114545122468,17.12440765147518,34.538776394910684,18.976156640901095,28.517838682057537
84.0,840,9.41024187712495,22.71114545122468,17.497747599519144,34.538776394910684,18.976156640901095,28.517838682057537
85.0,850,9.41024187712495,27.821769356331068,17.638060836561507,34.538776394910684,23.246306729293178,28.517838682057537
86.0,860,9.614574587854593,27.821769356331068,18.470283944022505,34.538776394910684,23.246306729293178,28.517838682057537
87.0,870,9.614574587854593,29.695816820701864,18.49965272614014,34.538776394910684,24.81215545818087,28.517838682057537
88.0,880,9.829168459561796,31.824998022134565,19.176232059693803,34.538776394910684,26.59117959776121,28.517838682057537
89.0,890,10.296643535728004,31.824998022134565,20.389952156020648,34.538776394910684,26.59117959776121,28.517838682057537
90.0,900,10.296643535728004,34.538776394910684,20.618206154877072,34.538776394910684,28.858660275963306,28.517838682057537
91.0,910,10.316714551648873,34.538776394910684,21.6097087170901,34.538776394910684,28.858660275963306,28.517838682057537
92.0,920,10.323666349086139,34.538776394910684,22.37602271786254,34.538776394910684,28.858660275963306,28.517838682057537
93.0,930,10.374266975554045,34.538776394910684,23.104846483653432,34.538776394910684,28.858660275963306,28.517838682057537
94.0,940,10.374266975554045,34.538776394910684,24.764681030391543,34.538776394910684,28.858660275963306,28.517838682057537
95.0,950,11.178395017724409,34.538776394910684,25.319662837301774,34.538776394910684,28.858660275963306,28.517838682057537
96.0,960,12.41427879724382,34.538776394910684,25.58341372906501,34.538776394910684,28.858660275963306,28.517838682057537
97.0,970,12.052404015322743,34.538776394910684,25.23340397300642,34.538776394910684,28.858660275963306,28.517838682057537
98.0,980,14.801968875168548,34.538776394910684,27.488299549138798,34.538776394910684,28.858660275963306,28.517838682057537
99.0,990,14.801968875168548,34.538776394910684,29.54053452082141,34.538776394910684,28.858660275963306,28.517838682057537
100.0,1000,14.801968875168548,34.538776394910684,30.74330226249552,34.538776394910684,28.858660275963306,28.517838682057537
