t_step,step,center_radius_50,center_radius_90,pair_radius_50,pair_radius_90,a_center_90,a_pair_90
0.0,0,0.9549753600457559,1.1968253572629777,0.9822171412618681,1.2111288229090558,1.0,1.0
1.0,10,2.2696564266794206,2.7514216812941106,2.2456312082961114,2.8865171122712687,2.298933311027385,2.383327898462556
2.0,20,2.48039690889784,3.1726345342636537,2.4751785237233133,3.2018698225675153,2.650875096362562,2.64370706237246
3.0,30,3.396389315065358,4.124899237187462,3.3862569202920785,4.400309953874126,3.446533959324443,3.6332303142657087
4.0,40,3.422760608077599,4.174611642311471,3.399296929942939,4.39923912100375,3.488070850920471,3.632346153266382
5.0,50,3.422760608077599,4.2451366363885406,3.4023663234645736,4.387351898414127,3.546997572057424,3.622531158886948
6.0,60,4.793694846261861,5.926258022585015,4.790489874023585,6.209011820253462,4.951648113587589,5.126632033527039
7.0,70,4.793694846261861,6.065636770102289,4.818222227271939,6.283398565241996,5.06810516111875,5.18805138346032
8.0,80,4.810810049277867,6.065636770102289,4.844805001559811,6.337897145910939,5.06810516111875,5.2330495534634425
9.0,90,4.810810049277867,6.075802886225699,4.875839328419503,6.354189280756992,5.076599396356762,5.2465015781679
10.0,100,4.8144194009876005,6.246246724399471,4.916178207583001,6.366364719613952,5.219012687602162,5.256554545801611
11.0,110,4.8169138580070765,6.246246724399471,4.926317349403426,6.358173899045233,5.219012687602162,5.249791581851133
12.0,120,4.84766356257375,6.168950429604718,4.956180619836854,6.35430250739497,5.154428248171899,5.246595066685254
13.0,130,4.858747293454927,6.246246724399471,4.984951718677172,6.33788237694216,5.219012687602162,5.2330373590804005
14.0,140,4.873064965041459,6.298710555409955,5.008536353953168,6.34039641062675,5.26284851602283,5.235113136352839
15.0,150,4.89544878172425,6.330308503423765,5.029227524765327,6.33777185972868,5.289249985395163,5.232946107669825
16.0,160,4.915818233081479,6.330308503423765,5.04941554873669,6.3195031444707475,5.289249985395163,5.217862067960446
17.0,170,4.925850426177803,6.445821196168561,5.07180047865349,6.349930691683755,5.385765898969188,5.2429853633832435
18.0,180,4.948920295669444,6.450652067165543,5.070738821247186,6.329837964950419,5.3898023032512885,5.226395281177887
19.0,190,5.261305045623372,6.855406226572874,5.401384338558508,6.768877230305828,5.72799212931995,5.588899464920179
20.0,200,5.380190185285885,6.92846524374248,5.478931583993544,6.849297121614126,5.789036137726226,5.655300238964293
21.0,210,5.433164428056228,6.92846524374248,5.501866616682306,6.838242731034532,5.789036137726226,5.646172893986207
22.0,220,5.5484289311924,6.966905148395553,5.534853227378685,6.866675497105956,5.821154361508669,5.669649146498413
23.0,230,5.56970215463263,6.978038916488873,5.562592407720486,6.897403044001481,5.830457112345083,5.695020144458581
24.0,240,5.605608996912203,6.978038916488873,5.5896708760944165,6.937141828321726,5.830457112345083,5.727831504875877
25.0,250,5.64623395277105,6.980134671040373,5.590447081483861,6.940137771729586,5.832208207054752,5.730305183440197
26.0,260,5.601611192743487,7.000825743233607,5.589439248597412,6.941259978952951,5.849496504021112,5.731231763009717
27.0,270,5.661087310803165,7.000825743233607,5.609046059956206,6.975110023521865,5.849496504021112,5.7591809323537415
28.0,280,5.712153692019267,7.15115769960586,5.679259506651915,7.109786169865982,5.975105437237607,5.870379793941919
29.0,290,5.70515910825967,6.837305241455547,5.694658581071823,7.125102175175169,5.712867963536295,5.883025851916495
