bin_index,t_start,t_end,t_center,n_frames,mean_dist_pe,frac_dist_pe_le1,frac_dist_pe_le2,mean_r_peak,mean_r_cm,mean_r_90,n_up_hops,n_up_tracks,P_up_packet,up_P_reach_target,up_mean_track_len,up_mean_max_radius,up_mean_radial_span,up_mean_peak_amp,n_down_hops,n_down_tracks,P_down_packet,down_P_reach_target,down_mean_track_len,down_mean_max_radius,down_mean_radial_span,down_mean_peak_amp
0,0.9999999999999999,500.7499999998191,250.50000000000674,500,1.6,0.348,1.0,1.174,1.034722816063621,1.94,70,23,0.32857142857142857,0.0,4.130434782608695,1.9565217391304348,1.0,22.5008637601313,71,13,0.18309859154929578,0.0,4.0,2.0,1.1538461538461537,17.688209799268297
1,500.7499999998191,1000.4999999996382,750.5000000001021,500,1.63,0.308,1.0,1.124,0.9998090262124452,1.9,74,18,0.24324324324324326,0.05555555555555555,4.222222222222222,2.0,1.0555555555555556,24.88807318888666,71,14,0.19718309859154928,0.0,4.285714285714286,2.0,1.0,27.189912923478865
2,1000.4999999996382,1500.2499999994575,1250.4999999999577,500,1.666,0.3,1.0,1.188,1.0369734097757877,1.928,75,21,0.28,0.047619047619047616,4.333333333333333,2.0476190476190474,1.0476190476190477,22.36140565596424,75,14,0.18666666666666668,0.07142857142857142,4.142857142857143,2.0714285714285716,1.1428571428571428,23.536595412527145
3,1500.2499999994575,1999.9999999992765,1750.4999999995034,500,1.724,0.246,1.0,1.186,1.0373445108408927,1.92,61,11,0.18032786885245902,0.0,4.2727272727272725,2.0,1.0,24.87104231186629,62,4,0.06451612903225806,0.0,4.0,2.0,1.0,22.30676629655718
