t_step,step,avg_degree,degree_90,center_radius_90,center_reach_fraction,giant_fraction,giant_radius_90,eff_radius_90
74.0,740,2.5,6.0,5.0,0.6328125,0.6328125,5.0,5.0
75.0,750,2.40625,6.0,5.0,0.6328125,0.6328125,5.0,5.0
76.0,760,2.3125,6.0,5.0,0.5859375,0.5859375,5.0,5.0
77.0,770,2.296875,6.0,5.0,0.5859375,0.5859375,5.0,5.0
78.0,780,2.28125,6.0,5.0,0.5859375,0.5859375,5.0,5.0
79.0,790,2.1875,5.0,6.0,0.5859375,0.5859375,6.0,6.0
80.0,800,2.140625,4.299999999999997,6.0,0.5859375,0.5859375,6.0,6.0
81.0,810,2.125,4.0,6.0,0.5859375,0.5859375,6.0,6.0
82.0,820,2.109375,4.0,6.0,0.5859375,0.5859375,6.0,6.0
83.0,830,1.984375,4.0,6.0,0.5390625,0.5390625,6.0,6.0
84.0,840,1.9375,4.0,6.0,0.5390625,0.5390625,6.0,6.0
85.0,850,1.9375,4.0,6.0,0.5390625,0.5390625,6.0,6.0
86.0,860,1.875,3.299999999999997,6.0,0.5234375,0.5234375,6.0,6.0
87.0,870,1.875,3.299999999999997,6.0,0.5234375,0.5234375,6.0,6.0
88.0,880,1.84375,3.299999999999997,6.399999999999999,0.5234375,0.5234375,6.399999999999999,6.399999999999999
89.0,890,1.75,3.0,6.0,0.4453125,0.4453125,6.0,6.0
90.0,900,1.75,3.0,6.0,0.4453125,0.4453125,6.0,6.0
91.0,910,1.671875,3.0,6.0,0.4296875,0.4296875,6.0,6.0
92.0,920,1.59375,3.0,6.0,0.3984375,0.3984375,6.0,6.0
93.0,930,1.5,3.0,6.0,0.3671875,0.3671875,6.0,6.0
94.0,940,1.5,3.0,6.0,0.3671875,0.3671875,6.0,6.0
95.0,950,1.484375,3.0,6.0,0.3671875,0.3671875,6.0,6.0
96.0,960,1.46875,2.299999999999997,6.0,0.3359375,0.3359375,6.0,6.0
97.0,970,1.515625,3.0,6.0,0.3828125,0.3828125,6.0,6.0
98.0,980,1.515625,3.0,6.0,0.3828125,0.3828125,6.0,6.0
99.0,990,1.515625,3.0,6.0,0.3828125,0.3828125,6.0,6.0
100.0,1000,1.515625,3.0,6.0,0.3828125,0.3828125,6.0,6.0
