step,n_edges,mean_degree,min_degree,max_degree,sample_diameter,mean_coupling,std_coupling,max_coupling
780,422,6.59375,0,26,4,0.11101612036536586,0.16616001290602697,1.0
790,419,6.546875,0,26,6,0.10765357832071706,0.16530090589068347,1.0
800,418,6.53125,0,26,5,0.10502857771192216,0.1589456856709263,1.0
810,417,6.515625,0,26,4,0.10439128916058603,0.1563206604273827,1.0
820,415,6.484375,0,26,4,0.10377685872232506,0.14942984162134024,1.0
830,408,6.375,0,22,5,0.10120077178747962,0.15289800740293769,1.0
840,408,6.375,0,22,5,0.1060154032577691,0.16507050555435934,1.0
850,407,6.359375,0,22,3,0.10844421251490971,0.17226769741684356,1.0000000000000002
860,406,6.34375,0,22,5,0.11063642212385683,0.17230764081664762,1.0000000000000002
870,405,6.328125,0,22,5,0.11170915467368106,0.1743077169607207,1.0000000000000002
880,405,6.328125,0,22,4,0.11099042187941732,0.16814517914246802,1.0000000000000002
890,404,6.3125,0,22,5,0.10955042831722996,0.17138718990095528,1.0000000000000002
900,403,6.296875,0,22,5,0.11280841341686244,0.1802986838848403,1.0000000000000002
910,400,6.25,0,22,5,0.1144777749398094,0.176606414551855,1.0000000000000002
920,398,6.21875,0,22,5,0.11969362010124263,0.18704275053424865,1.0000000000000002
930,398,6.21875,0,22,5,0.12688449383940573,0.19281461260061342,1.0000000000000002
940,398,6.21875,0,22,4,0.12756856777704406,0.19208881782727774,1.0000000000000002
950,396,6.1875,0,22,6,0.12514718892605017,0.19062449951100086,1.0000000000000002
960,396,6.1875,0,22,6,0.12435108407134861,0.19057347308811928,1.0000000000000002
970,392,6.125,0,22,5,0.11642739260296632,0.17521191659786325,1.0000000000000002
980,388,6.0625,0,22,5,0.11346061366631954,0.17157648488790034,1.0000000000000002
990,388,6.0625,0,22,6,0.11401359742837722,0.16769025365516715,1.0000000000000002
1000,387,6.046875,0,22,5,0.11369492989564123,0.17243188388519595,1.0000000000000002
1010,387,6.046875,0,22,3,0.11445890891601616,0.17639122558863227,1.0000000000000002
1020,385,6.015625,0,22,5,0.1083588818467387,0.16642425769837196,1.0000000000000002
1030,385,6.015625,0,22,6,0.10964444768993993,0.1691816814116629,1.0000000000000002
1040,384,6.0,0,22,5,0.10706640227935364,0.168434735114782,1.0000000000000002
1050,380,5.9375,0,22,5,0.10464091458860374,0.15942656966590849,1.0000000000000002
1060,380,5.9375,0,22,5,0.10523535611547132,0.15943270099292617,1.0000000000000002
1070,380,5.9375,0,22,5,0.10255986847107967,0.14341752491466353,1.0
1080,380,5.9375,0,22,5,0.1053070989851851,0.14616260073580817,1.0
1090,380,5.9375,0,22,5,0.1054858705397523,0.14630729612859153,1.0
1100,379,5.921875,0,22,5,0.10592680791147006,0.1466350430570586,1.0
1110,378,5.90625,0,22,4,0.10524059378470692,0.14782619777122702,1.0
1120,378,5.90625,0,22,6,0.10777935063841682,0.1533340745865906,1.0000000000000002
1130,378,5.90625,0,22,6,0.1099080292550613,0.1594134281548751,1.0000000000000002
1140,378,5.90625,0,22,6,0.10990999453776167,0.15881160657039436,1.0000000000000002
1150,378,5.90625,0,22,4,0.11276966171732543,0.16577614220314213,1.0000000000000002
1160,376,5.875,0,22,6,0.11327907370119353,0.16719346173724967,1.0000000000000002
1170,375,5.859375,0,22,6,0.11462977987570695,0.16673678796544986,1.0000000000000002
1180,375,5.859375,0,22,5,0.11680428284953469,0.17289298562913605,1.0000000000000002
1190,372,5.8125,0,22,6,0.11216198595675612,0.1650102921672581,1.0000000000000002
1200,372,5.8125,0,22,6,0.11164535269721297,0.1652868770836002,1.0000000000000002
1210,372,5.8125,0,22,5,0.10862874417268914,0.15220461373122826,1.0000000000000002
1220,372,5.8125,0,22,5,0.1090331539428177,0.15685922218902867,1.0000000000000002
1230,370,5.78125,0,22,5,0.11125753757591889,0.16751799779646065,1.0000000000000002
1240,370,5.78125,0,22,5,0.11298508075832195,0.17432013906317567,1.0000000000000002
1250,370,5.78125,0,22,5,0.11250772448826955,0.1744230787864192,1.0000000000000002
1260,370,5.78125,0,22,6,0.11250772448826955,0.1744230787864192,1.0000000000000002
1270,370,5.78125,0,22,5,0.11367706248849896,0.1797850158027488,1.0000000000000002
1280,370,5.78125,0,22,6,0.11018552151066419,0.1682395965705233,1.0000000000000002
1290,370,5.78125,0,22,6,0.1129519255896167,0.1738468804821298,1.0000000000000002
1300,368,5.75,0,21,5,0.10974834484114585,0.17633270511814994,1.0000000000000002
1310,368,5.75,0,21,4,0.11211393472527062,0.18212326560870967,1.0000000000000002
1320,366,5.71875,0,21,6,0.1102304092717723,0.17289826946510523,1.0000000000000002
1330,366,5.71875,0,21,4,0.1107462162938932,0.17274865087597782,1.0000000000000002
1340,363,5.671875,0,21,4,0.10782353414986592,0.16791143926308907,1.0000000000000002
1350,363,5.671875,0,21,6,0.10788190533568084,0.16782756123895098,1.0000000000000002
1360,362,5.65625,0,21,6,0.10845936091960978,0.16785885851024426,1.0000000000000002
1370,361,5.640625,0,21,5,0.11201062723020065,0.1784050905259115,1.0000000000000002
1380,359,5.609375,0,21,5,0.11395115574746019,0.18066862746287093,1.0000000000000002
1390,359,5.609375,0,21,4,0.11171376607568398,0.1807581329055365,1.0000000000000002
1400,358,5.59375,0,21,6,0.11385668087427818,0.1822515129268877,1.0000000000000002
1410,358,5.59375,0,21,4,0.11471257201399239,0.1830102795782902,1.0000000000000002
1420,358,5.59375,0,21,4,0.11556295277178494,0.17912598442352615,1.0000000000000002
1430,357,5.578125,0,21,4,0.11475601476710134,0.17895106328718097,1.0000000000000002
1440,356,5.5625,0,21,5,0.1136999867166411,0.17500347031924385,1.0000000000000002
1450,356,5.5625,0,21,5,0.11339635568866804,0.17500616843127467,1.0000000000000002
1460,356,5.5625,0,21,4,0.11171045224275894,0.16964064269683898,1.0000000000000002
1470,354,5.53125,0,21,4,0.11158665329598584,0.16849312288567803,1.0000000000000002
1480,353,5.515625,0,21,6,0.11035888495067328,0.16180503040672206,1.0000000000000002
1490,353,5.515625,0,21,4,0.11197753241168464,0.1681086416540986,1.0000000000000002
1500,353,5.515625,0,21,4,0.11274359770343514,0.17434276070459973,1.0000000000000002
1510,353,5.515625,0,21,4,0.11063983813299824,0.17286538738359014,1.0000000000000002
1520,353,5.515625,0,21,6,0.11170945744632475,0.17841588267663802,1.0000000000000002
1530,353,5.515625,0,21,4,0.11139959672086573,0.178440890453584,1.0000000000000002
1540,353,5.515625,0,21,6,0.11221962772447794,0.17836465883454453,1.0000000000000002
1550,353,5.515625,0,21,6,0.11066564818564412,0.17182374163522343,1.0000000000000002
1560,353,5.515625,0,21,5,0.11005115674921939,0.1707090268938036,1.0000000000000002
1570,353,5.515625,0,21,6,0.11563517376518635,0.1831952136657537,1.0000000000000002
1580,352,5.5,0,21,6,0.11494656763908848,0.1810155396733291,1.0000000000000002
1590,352,5.5,0,21,6,0.11434879484267825,0.17820013188379893,1.0000000000000002
1600,352,5.5,0,21,4,0.112838580952093,0.1685419810932118,1.0000000000000002
1610,351,5.484375,0,21,4,0.114634554136856,0.17484560967627377,1.0000000000000002
1620,351,5.484375,0,21,3,0.11537557473019676,0.17451098138929244,1.0000000000000002
1630,348,5.4375,0,21,5,0.1111780391560052,0.1607163538809235,1.0000000000000002
1640,347,5.421875,0,21,6,0.10747235528267197,0.1521827507836644,1.0000000000000002
1650,347,5.421875,0,21,6,0.10680584762545406,0.1522785665808491,1.0000000000000002
1660,345,5.390625,0,21,5,0.10377106819189107,0.15075100838597527,1.0000000000000002
1670,345,5.390625,0,21,4,0.10169832959306205,0.14308177484406293,1.0000000000000002
1680,344,5.375,0,21,4,0.10155954415889513,0.14308561450874432,1.0000000000000002
1690,344,5.375,0,21,7,0.10373857387665729,0.15402819958871825,1.0000000000000002
1700,344,5.375,0,21,5,0.1080202365343916,0.16768521865826103,1.0000000000000002
1710,344,5.375,0,21,4,0.11094572692364489,0.17092075283625663,1.0000000000000002
1720,344,5.375,0,21,5,0.10810631614204781,0.1657191196875504,1.0000000000000002
1730,344,5.375,0,21,7,0.10705497985079124,0.15806796981173743,1.0000000000000002
1740,344,5.375,0,21,6,0.10831599187898418,0.15924985356172344,1.0000000000000002
1750,344,5.375,0,21,5,0.10942776847966089,0.15899236977656958,1.0000000000000002
1760,344,5.375,0,21,6,0.10539270045594733,0.1521535329006746,1.0000000000000002
1770,344,5.375,0,21,7,0.1059360644775921,0.1526904268540592,1.0000000000000002
1780,344,5.375,0,21,6,0.10733968979051081,0.16037980310478647,1.0000000000000002
1790,344,5.375,0,21,7,0.10751405014538898,0.16053569077027638,1.0000000000000002
1800,342,5.34375,0,20,5,0.10463168524728961,0.16021430096547645,1.0000000000000002
1810,342,5.34375,0,20,6,0.10397300485364548,0.15987039874101588,1.0000000000000002
1820,340,5.3125,0,20,5,0.10506061802300677,0.15621567006794956,1.0000000000000002
1830,339,5.296875,0,20,5,0.10633694615847342,0.15618103679392129,1.0000000000000002
1840,339,5.296875,0,20,6,0.10612076649571141,0.15633804514351002,1.0000000000000002
1850,339,5.296875,0,20,5,0.10999020583188317,0.1622518302465134,1.0000000000000002
1860,339,5.296875,0,20,5,0.10833012625144853,0.1578490171421515,1.0
1870,339,5.296875,0,20,5,0.1072854751241347,0.15756932203091734,1.0
1880,339,5.296875,0,20,7,0.11012258679448791,0.1573481697487805,1.0000000000000002
1890,339,5.296875,0,20,4,0.10982658214659034,0.1570361444847428,1.0000000000000002
1900,339,5.296875,0,20,6,0.10867930344879675,0.1574110641388217,1.0000000000000002
1910,339,5.296875,0,20,6,0.11107449638350918,0.16457749325113016,1.0000000000000002
1920,339,5.296875,0,20,5,0.11001817868320961,0.16568787161366594,1.0000000000000002
1930,339,5.296875,0,20,7,0.11490464488972253,0.17218967496657012,1.0000000000000002
1940,339,5.296875,0,20,7,0.11303328239169642,0.16690797890988823,1.0000000000000002
1950,337,5.265625,0,20,6,0.11212942925993426,0.1691215003339115,1.0000000000000002
1960,337,5.265625,0,20,5,0.11441160667694643,0.17250581527383593,1.0000000000000002
1970,337,5.265625,0,20,6,0.1119562758541433,0.17226012286117887,1.0000000000000002
1980,337,5.265625,0,20,5,0.10782303383799574,0.16523777083614075,1.0000000000000002
1990,337,5.265625,0,20,7,0.10995489723981819,0.16569846744522743,1.0000000000000002
2000,337,5.265625,0,20,7,0.10684512314576909,0.1570449513221612,1.0
