defrag_rate,n_up_hops,n_up_tracks,P_up_packet,n_down_hops,n_down_tracks,P_down_packet,up_mean_amp,up_peak_amp,up_decay_rate,up_track_len,up_max_radius,up_radial_span,down_mean_amp,down_peak_amp,down_decay_rate,down_track_len,down_max_radius,down_radial_span
0.02,127,6,0.047244094488188976,112,2,0.017857142857142856,16.511023568658047,31.1629312711552,0.053468205742102766,7.333333333333333,2.5,1.0,15.839641209142183,25.293496541161304,0.000482605783772877,7.0,3.0,1.5
0.05,133,12,0.09022556390977443,128,4,0.03125,16.007272392622145,26.214940432701592,0.033698705105123496,7.25,2.5,1.3333333333333333,14.671307802812303,25.824966892898964,0.0775068347797313,6.25,2.75,1.5
0.1,126,5,0.03968253968253968,127,5,0.03937007874015748,15.7941439518583,26.602089486941406,0.0379585426067957,7.0,2.4,1.6,15.502396911978819,25.294471758762803,0.15099234481230933,6.6,2.8,1.8
0.2,119,1,0.008403361344537815,118,8,0.06779661016949153,13.771023877921566,20.335112821811613,-0.05349155597400732,7.0,3.0,1.0,16.51727929973067,31.325047131023798,0.20043188528114855,7.125,2.75,1.5
0.4,143,6,0.04195804195804196,146,8,0.0547945205479452,15.55470847817478,27.203181200757427,0.005523551125514313,7.166666666666667,2.6666666666666665,1.1666666666666667,18.71128048061071,33.37114136999057,0.07075592256556161,6.75,2.625,1.25
